title,feedback,answerType,type,domain,answer1,explanation1,answer2,explanation2,answer3,explanation3,answer4,explanation4,answer5,explanation5,answer6,explanation6,correctAnswer
True or False: The Product Owner is allowed to adjust the Definition of Done during the Sprint to accommodate incomplete work. (Choose the best answer),The Definition of Done ensures that each Increment meets the Scrum Team’s quality standards and should not be altered during a Sprint to accommodate incomplete work. <i>“The Definition of Done creates transparency by providing everyone a shared understanding of what work was completed.” Scrum Guide 2020</i>,TF,pspo-I,Concepts,,Incorrect: The Definition of Done is a shared agreement and should not be adjusted to fit current work; it maintains quality standards.,,Correct: The Definition of Done should remain consistent to ensure quality and transparency across the Increment.,,,,,,,,,false
A critical bug is discovered mid-Sprint that impacts the product’s core functionality. What should the Product Owner do? (Choose the best answer),The Product Owner should collaborate with the Developers to prioritize and address critical bugs within the current Sprint to maintain product functionality and quality. <i>“Developers are responsible for turning Product Backlog items into Increments of value each Sprint.” Scrum Guide 2020</i>,S,pspo-I,Concepts,Wait until the next Sprint to address the bug to maintain the current focus.,Incorrect: Critical issues that impact core functionality should be addressed immediately to ensure product integrity.,Work with the Developers to prioritize the bug fix within the current Sprint.,Correct: Addressing critical bugs promptly ensures that the product remains functional and reliable.,Delay the fix until it can be scheduled in a future Sprint to avoid disrupting the current Sprint.,Incorrect: Delaying critical fixes compromises product quality and stakeholder trust.,Escalate the bug to management for immediate intervention.,Incorrect: Critical issues should be managed by the Scrum Team without external escalation unless absolutely necessary.,,,,,2
The Product Owner notices that some Product Backlog items consistently fail to meet the Definition of Done. What is the best course of action? (Choose the best answer),"The Product Owner should work with the Developers to understand why items are not meeting the Definition of Done, helping to ensure quality and continuous improvement. <i>“If a Product Backlog item does not meet the Definition of Done, it cannot be released.” Scrum Guide 2020</i>",S,pspo-I,Concepts,Lower the Definition of Done to match the team's current performance.,Incorrect: Lowering quality standards compromises the integrity of the product and should be avoided.,Collaborate with the Developers to understand the issues and refine the Backlog items accordingly.,Correct: Working with the team to address why items aren't meeting the Definition of Done helps improve processes and outcomes.,Remove the items from the Product Backlog to simplify the team’s workload.,Incorrect: Removing items does not address the underlying issues with meeting the Definition of Done.,Delay the incomplete work to the next Sprint without further discussion.,Incorrect: Delaying work without understanding and addressing issues can lead to recurring problems.,,,,,2
Which two actions are necessary for the Development Team to ensure continuous delivery of high-quality Increments? (Choose the two best answers),Adhering to the Definition of Done and conducting continuous code reviews and testing are crucial actions for ensuring high-quality Increments. <i>“The Definition of Done creates transparency by providing everyone a shared understanding of what work was completed.” Scrum Guide 2020</i>,M,pspo-I,Concepts,Adhering to the Definition of Done for all tasks completed.,Correct: Adherence to the Definition of Done ensures that each Increment meets the agreed quality standards.,Conducting code reviews and automated testing throughout the Sprint.,"Correct: Continuous testing and reviews help identify defects early, maintaining quality and reducing rework.",Completing all tasks as quickly as possible to maximize output.,Incorrect: Speed without focus on quality can lead to substandard work and technical debt.,Only testing at the end of the Sprint.,"Incorrect: Testing should be integrated continuously, not just at the end.",Allowing the Product Owner to sign off on completed work.,"Incorrect: The Product Owner assesses value, but quality is maintained by the team's adherence to the Definition of Done.",,,"1,2"
Which three factors contribute most to the self-organizing nature of a Scrum Team? (Choose the three best answers),"Self-organization in Scrum Teams is supported by cross-functional skills, a culture of respect, and the ability to decide how to accomplish their work. <i>“Self-managing teams choose who, how, and when their work gets done.” Scrum Guide 2020</i>",M,pspo-I,Concepts,Clear boundaries of authority within the team.,"Incorrect: Scrum teams are self-organizing, meaning no external authority dictates their actions.",Cross-functional skills among team members.,Correct: Cross-functionality ensures that the team has all the skills needed to complete their work without outside assistance.,A culture of collaboration and mutual respect.,Correct: Collaboration and respect foster an environment where team members can self-manage effectively.,A Scrum Master who assigns tasks based on expertise.,"Incorrect: The Scrum Master facilitates, but task assignment is up to the self-organizing team.",The ability to decide how to accomplish their work.,Correct: The freedom to determine how they work supports the team’s autonomy and self-organization.,,,"2,3,5"
"During a Daily Scrum, the Developers identify a risk that might impact the Sprint Goal. What is the best action for the Scrum Master? (Choose the best answer)","The Scrum Master should facilitate the discussion, helping the Developers find the best approach to address the risk while keeping focus on the Sprint Goal. <i>“The Scrum Master is accountable for the Scrum Team’s effectiveness.” Scrum Guide 2020</i>",S,pspo-I,Daily Scrum,Direct the team on how to handle the risk immediately.,Incorrect: The Scrum Master facilitates but does not dictate how the team manages risks.,Facilitate a discussion to help the team decide the best approach to manage the risk.,"Correct: The Scrum Master facilitates the team's decision-making process, enabling them to handle risks effectively.",Ignore the risk to maintain focus on the current plan.,Incorrect: Risks should be addressed promptly to avoid impacting the Sprint Goal.,Ask the Product Owner to adjust the Sprint Goal to accommodate the risk.,Incorrect: Adjusting the Sprint Goal should be a last resort; the team should first explore ways to manage the risk.,,,,,2
"During the Daily Scrum, the team reports that they are behind schedule on completing the Sprint Goal. What should the Scrum Master do? (Choose the best answer)","The Scrum Master should facilitate the team’s discussion on how to adjust their work, supporting them in making necessary adaptations to achieve the Sprint Goal. <i>“The Daily Scrum is used to inspect progress toward the Sprint Goal and adapt the Sprint Backlog as necessary.” Scrum Guide 2020</i>",S,pspo-I,Daily Scrum,Tell the team to work overtime to catch up.,Incorrect: Forcing overtime can lead to burnout and does not align with Scrum’s principles of sustainable pace.,Facilitate a discussion to help the team identify adjustments that can be made to achieve the Sprint Goal.,Correct: Facilitating discussions helps the team self-manage and find solutions to get back on track.,Ignore the issue and proceed as planned.,Incorrect: Ignoring issues prevents timely course correction and may lead to Sprint failure.,Ask the Product Owner to remove some tasks to make the workload lighter.,Incorrect: Adjustments should be decided by the team based on their inspection and adaptation processes.,,,,,2
True or False: The Product Owner can change the order of the Product Backlog at any time based on new stakeholder feedback. (Choose the best answer),"The Product Owner continuously refines and orders the Product Backlog to align with the latest stakeholder feedback and market conditions, ensuring the product remains valuable. <i>“The Product Owner is accountable for maximizing the value of the product resulting from the work of the Scrum Team.” Scrum Guide 2020</i>",TF,pspo-I,Product Backlog Management,,Correct: The Product Owner is responsible for managing and ordering the Product Backlog to maximize value and can adjust it as needed.,,Incorrect: The Product Owner must adapt the Product Backlog based on new insights to ensure it delivers maximum value.,,,,,,,,,true
True or False: The Scrum Master decides the order of items in the Product Backlog. (Choose the best answer),"The Product Owner is accountable for managing the Product Backlog, including prioritizing items to maximize value. <i>“The Product Owner is the sole person responsible for managing the Product Backlog.” Scrum Guide 2020</i>",TF,pspo-I,Product Backlog Management,,Incorrect: The Product Owner is responsible for ordering the Product Backlog based on value and priorities.,,Correct: The Product Owner manages the order of items in the Product Backlog based on value considerations.,,,,,,,,,false
Which two strategies should the Product Owner use to keep the Product Backlog aligned with market needs? (Choose the two best answers),The Product Owner should engage with stakeholders regularly and use data-driven prioritization to keep the Product Backlog aligned with evolving market needs and deliver maximum value. <i>“The Product Owner is accountable for maximizing the value of the product resulting from the work of the Scrum Team.” Scrum Guide 2020</i>,M,pspo-I,Product Backlog Management,Only update the Product Backlog during formal events like Sprint Reviews.,"Incorrect: The Product Backlog should be continuously updated to reflect new insights and feedback, not just during formal events.",Regularly engage with stakeholders to gather feedback and adjust the Backlog.,Correct: Continuous engagement ensures the Product Backlog remains aligned with current market needs.,Use data-driven prioritization to focus on high-value items.,Correct: Data-driven decisions help prioritize work that delivers the most value to the product and stakeholders.,Ignore minor feedback to maintain focus on the current Product Goal.,Incorrect: All feedback should be considered to keep the Product Backlog adaptable and responsive.,Delegate Backlog updates to the Developers to maintain focus on other tasks.,Incorrect: The Product Owner is accountable for Backlog management and should be actively involved.,,,"2,3"
