title,feedback,answerType,type,domain,answer1,explanation1,answer2,explanation2,answer3,explanation3,answer4,explanation4,answer5,explanation5,answer6,explanation6,correctAnswer
True or False: The Product Owner should prioritize eliminating technical debt before adding new features to ensure long-term product sustainability.,"The Product Owner should prioritize addressing technical debt when necessary to maintain product quality and sustainability, ensuring long-term value delivery. <i>Technical debt can hinder future product development and must be managed.</i> (Scrum Guide 2020, p. 6).",TF,PSPO-II,Product Management & Maximizing value,,Correct: Addressing technical debt early ensures the product remains sustainable and maintains quality as it evolves with new features.,,Incorrect: Technical debt can be delayed until after new features are delivered to keep up with stakeholder demands.,,,,,,,,,true
True or False: The Product Owner should primarily use the development team’s velocity as the sole indicator for planning future Sprints.,"Velocity is a helpful measure, but the Product Owner must incorporate feedback from stakeholders and market trends to make well-rounded planning decisions. <i>The Product Owner is responsible for managing the Product Backlog.</i> (Scrum Guide 2020, p. 6).",S,PSPO-II,Product Management & Maximizing value,False,"Correct: While velocity is useful, the Product Owner must also consider other factors such as stakeholder feedback, market changes, and business goals when planning Sprints.",True,Incorrect: Velocity is the most reliable metric for planning Sprints and should be used exclusively to guide future planning decisions.,,,,,,,,,1
"True or False: The Scrum Values—Commitment, Courage, Focus, Openness, and Respect—are optional and can be adapted by the team to suit their culture.","The Scrum Values are essential to the success of a Scrum Team and are not subject to modification; they guide behavior and decision-making. <i>The Scrum Team commits to achieving its goals and to supporting each other.</i> (Scrum Guide 2020, p. 4).",S,PSPO-II,Principles and Framework,False,Correct: The Scrum Values are integral to the framework and are not optional; they guide the behavior of the Scrum Team and ensure the team adheres to Scrum principles.,True,Incorrect: The Scrum Team can adapt these values to better align with their organizational culture.,,,,,,,,,1
True or False: The Product Owner should collaborate with the development team to set detailed technical requirements for each Product Backlog item.,"The Product Owner defines the 'what' in terms of value and outcomes but leaves the 'how' to the development team. <i>The Product Owner is responsible for managing the Product Backlog, while the Developers decide how to turn items into increments.</i> (Scrum Guide 2020, p. 7).",S,PSPO-II,Product Management & Maximizing value,False,"Correct: The Product Owner focuses on value and business outcomes, while the development team defines the necessary technical details.",True,Incorrect: The Product Owner must provide both business value and technical details to ensure the development team understands what to build.,,,,,,,,,1
Which three strategies should a Product Owner employ to strengthen the relationship between stakeholders and the Development Team? (Choose the three best answers),"The Product Owner strengthens relationships by facilitating discussions, maintaining communication, and aligning expectations with the Product Goal. <i>The Sprint Review is a key event for stakeholder input and collaboration.</i> (Scrum Guide 2020, p. 13).",M,PSPO-II,Collaboration with the development team and stakeholders,Facilitate open discussions during Sprint Reviews to gather stakeholder input,Correct: Open discussions during Sprint Reviews promote transparency and collaboration between stakeholders and the Development Team.,Encourage stakeholders to set Sprint Goals to increase their involvement,"Incorrect: The Scrum Team, not stakeholders, is responsible for defining Sprint Goals.",Maintain continuous communication with stakeholders throughout the development process,Correct: Continuous communication ensures that stakeholders remain informed and involved in the product development.,Align stakeholder expectations with the Product Goal through regular updates,Correct: Aligning expectations with the Product Goal helps avoid misunderstandings and promotes a shared vision.,Allow stakeholders to assign tasks to the Development Team based on their priorities,Incorrect: The Development Team self-organizes and decides how to accomplish its work.,,,"1,3,4"
"Which three elements are crucial for maintaining Focus, one of the core Scrum Values, during a Sprint? (Choose the three best answers)","Maintaining Focus during a Sprint is achieved through a clear Sprint Goal, limiting work in progress, and prioritizing high-value tasks. <i>Focus is essential for ensuring that the team delivers what is most valuable to the product.</i> (Scrum Guide 2020, p. 5).",M,PSPO-II,Principles and Framework,A clear and achievable Sprint Goal that aligns with the Product Goal,Correct: A clear Sprint Goal helps the team stay focused on delivering value aligned with the Product Goal.,Limiting work in progress to avoid distractions and overcommitting,Correct: Limiting work in progress helps the team focus on completing high-priority items without getting distracted.,Only reviewing progress at the end of the Sprint,Incorrect: Regular inspection during the Sprint ensures the team stays focused and on track.,Prioritizing tasks based on their value to the product,Correct: Focusing on high-value tasks keeps the team aligned with delivering value throughout the Sprint.,Allowing stakeholders to change the Sprint Goal if priorities shift,Incorrect: The Sprint Goal should remain stable to maintain focus on the Sprint’s objectives.,,,"1,2,4"
Which three characteristics of the Product Backlog make it a critical artifact in Scrum? (Choose the three best answers),"The Product Backlog is a key artifact in Scrum because of its transparency, ordered structure, and flexibility. <i>The Product Backlog is an emergent, ordered list of what is needed to improve the product.</i> (Scrum Guide 2020, p. 14).",M,PSPO-II,Product Management & Maximizing value,The Product Backlog is transparent and visible to all stakeholders,Correct: Transparency ensures all stakeholders are aligned and aware of what the team is working on.,The Product Backlog is ordered to maximize value delivery,"Correct: Ordering the backlog ensures the most valuable items are addressed first, which is essential for delivering value.",The Product Backlog is flexible and can be adjusted at any time,Correct: Flexibility ensures the backlog can evolve based on changes in market or stakeholder needs.,The Product Backlog contains only completed items,Incorrect: The Product Backlog contains future work that has not yet been done.,The Product Backlog cannot change once a Sprint starts,"Incorrect: The Product Backlog remains adaptable, even during a Sprint.",,,"1,2,3"
Which three factors should a Product Owner prioritize to maintain a sustainable Product Vision over multiple releases? (Choose the three best answers),"To maintain a sustainable Product Vision over multiple releases, the Product Owner should align the Product Goal with business strategy, engage stakeholders, and balance short- and long-term priorities. <i>The Product Goal is the Scrum Team's objective for the product.</i> (Scrum Guide 2020, p. 6).",M,PSPO-II,Product Vision & Strategy,Align the Product Goal with the long-term business strategy,Correct: The Product Goal should be aligned with the long-term strategy to ensure sustainability.,Make frequent changes to the Product Backlog based on immediate stakeholder requests,Incorrect: Frequent changes based on short-term needs can disrupt the sustainability of the Product Vision.,Engage stakeholders in regular feedback sessions to ensure ongoing alignment with the market,Correct: Regular feedback helps the Product Owner ensure the vision remains relevant to market trends and stakeholder expectations.,Ensure the Product Backlog reflects both short-term priorities and long-term vision,Correct: Balancing short-term and long-term priorities helps maintain a sustainable Product Vision.,Focus solely on immediate releases to address short-term market demands,Incorrect: Focusing only on short-term demands can weaken the long-term vision and sustainability of the product.,,,"1,3,4"
Which two methods enable the Product Owner to facilitate a healthy relationship between the Development Team and stakeholders? (Choose the two best answers),"The Product Owner facilitates a healthy relationship by encouraging open communication during Sprint Reviews and regularly gathering stakeholder feedback for Product Backlog refinement. <i>The Scrum Team works closely with key stakeholders to maintain product value.</i> (Scrum Guide 2020, p. 5).",M,PSPO-II,Collaboration with the development team and stakeholders,Encouraging open communication between the Development Team and stakeholders during Sprint Reviews,Correct: Open communication helps maintain a productive and transparent relationship between the Development Team and stakeholders.,Regularly gathering stakeholder feedback to inform Product Backlog refinement,"Correct: Gathering feedback ensures that the Development Team is working on the most valuable items, based on stakeholder input.",Having the Scrum Master mediate all stakeholder interactions,"Incorrect: While the Scrum Master can support collaboration, the Product Owner should facilitate direct interactions when necessary.",Allowing stakeholders to directly assign tasks to the Development Team,Incorrect: Stakeholders should not assign tasks; the Development Team is self-organizing.,Limiting stakeholder interactions to reduce distractions,Incorrect: Stakeholder interactions are critical for value delivery and should not be limited.,,,"1,2"
Which two actions help the Product Owner adjust the product development strategy to ensure ongoing value delivery? (Choose the two best answers),"To ensure ongoing value delivery, the Product Owner must revisit the Product Goal regularly and adapt the Product Backlog based on feedback and changes in priorities. <i>The Product Goal describes a future state of the product which can serve as a target for the Scrum Team to plan against.</i> (Scrum Guide 2020, p. 6).",M,PSPO-II,Product Management & Maximizing value,Revisiting the Product Goal regularly,Correct: The Product Goal should be revisited regularly to ensure it reflects current business needs and market conditions.,Adapting the Product Backlog based on feedback and changes,Correct: Continuously adjusting the Product Backlog based on feedback allows the Product Owner to focus on the most valuable work.,Completing all initial requirements before starting new work,"Incorrect: Scrum is iterative, and requirements evolve throughout the process based on new information.",Strictly following the original product roadmap,Incorrect: The Product Owner must remain flexible and adapt the roadmap as needed to reflect changing priorities.,Extending Sprints to accommodate late feedback,Incorrect: Sprint length should remain consistent to provide regular feedback and deliver value incrementally.,,,"1,2"
