title,feedback,answerType,type,domain,answer1,explanation1,answer2,explanation2,answer3,explanation3,answer4,explanation4,answer5,explanation5,answer6,explanation6,correctAnswer
True or False: The Product Owner can change the Definition of Done at any time to adjust to new quality standards. (Choose the best answer),The Definition of Done is created collaboratively by the Scrum Team and serves as a shared commitment to quality. Any changes must be agreed upon by the entire team to maintain consistency and shared understanding. <i>“The Definition of Done creates transparency by providing everyone a shared understanding of what work was completed as part of the Increment.” Scrum Guide 2020</i>,TF,pspo-I,Concepts,,Incorrect: The Definition of Done is a shared agreement within the team and should not be changed unilaterally by the Product Owner.,,Correct: The Definition of Done is established by the Scrum Team and changes should involve the entire team.,,,,,,,,,false
A critical bug is discovered mid-Sprint that impacts the product’s core functionality. What should the Product Owner do? (Choose the best answer),The Product Owner should collaborate with the Developers to prioritize and address critical bugs within the current Sprint to maintain product functionality and quality. <i>“Developers are responsible for turning Product Backlog items into Increments of value each Sprint.” Scrum Guide 2020</i>,S,pspo-I,Concepts,Wait until the next Sprint to address the bug to maintain the current focus.,Incorrect: Critical issues that impact core functionality should be addressed immediately to ensure product integrity.,Work with the Developers to prioritize the bug fix within the current Sprint.,Correct: Addressing critical bugs promptly ensures that the product remains functional and reliable.,Delay the fix until it can be scheduled in a future Sprint to avoid disrupting the current Sprint.,Incorrect: Delaying critical fixes compromises product quality and stakeholder trust.,Escalate the bug to management for immediate intervention.,Incorrect: Critical issues should be managed by the Scrum Team without external escalation unless absolutely necessary.,,,,,2
The Product Owner notices that several Product Backlog items are consistently not meeting the Definition of Done. What should be their first step? (Choose the best answer),"The Product Owner should work with the team to understand why items are not meeting the Definition of Done, helping to identify areas for improvement in processes or standards. <i>“The Definition of Done creates transparency by providing everyone a shared understanding of what work was completed.” Scrum Guide 2020</i>",S,pspo-I,Concepts,Lower the standards of the Definition of Done to accommodate the team’s capabilities.,Incorrect: Lowering quality standards compromises the product and is not a viable solution.,Collaborate with the team to identify why the Definition of Done is not being met.,Correct: Working together to identify and address issues ensures that the Definition of Done is achievable and maintained.,Remove unfinished items from the Product Backlog.,Incorrect: Removing items without addressing the root cause does not solve the underlying problem.,Delay all items not meeting the Definition of Done to the next Sprint.,Incorrect: Delaying items without addressing why they did not meet the Definition of Done does not ensure improvement.,,,,,2
Which two actions are recommended if the team consistently misses the Definition of Done? (Choose the two best answers),Reviewing the Definition of Done and focusing on testing and quality throughout the Sprint help the Scrum Team consistently meet their quality standards. <i>“The Definition of Done creates transparency by providing everyone a shared understanding of what work was completed.” Scrum Guide 2020</i>,M,pspo-I,Concepts,Review and adjust the Definition of Done during the Sprint Retrospective.,Correct: Reviewing and adjusting the Definition of Done ensures it remains realistic and achievable while maintaining quality.,Increase the focus on testing and quality assurance throughout the Sprint.,Correct: Emphasizing quality throughout the Sprint helps the team meet the Definition of Done consistently.,Ask the Scrum Master to enforce stricter quality controls.,"Incorrect: The Scrum Team as a whole is responsible for quality, not just the Scrum Master.",Skip less critical tasks to ensure critical tasks meet the Definition of Done.,Incorrect: Skipping tasks compromises the Sprint Goal and overall Sprint integrity.,Extend the Sprint length to ensure all criteria are met.,Incorrect: Extending the Sprint violates Scrum’s principles and undermines the team’s time-box commitment.,,,"1,2"
Which three key elements help ensure the quality and consistency of the work done by a Scrum Team? (Choose the three best answers),"The Definition of Done, Sprint Retrospective, and Backlog Refinement are critical to maintaining high-quality work by setting clear standards and continuously improving the team's processes. <i>“The Definition of Done creates transparency by providing everyone a shared understanding of what work was completed.” Scrum Guide 2020</i>",M,pspo-I,Concepts,Scrum Artifacts,"Correct: The Definition of Done sets clear criteria for when work is considered complete, ensuring quality standards.",Sprint Retrospective,"Correct: The Sprint Retrospective helps the team identify areas for improvement, maintaining consistency and quality.",Backlog Refinement,"Correct: Refining the Product Backlog ensures that the team fully understands what needs to be done, reducing ambiguity and maintaining quality.",Daily Scrum,"Incorrect: While the Daily Scrum helps track progress, it does not directly ensure quality and consistency.",Sprint Review,Incorrect: The Sprint Review gathers feedback but does not directly establish quality criteria.,,,"1,2,3"
"During a Daily Scrum, the Developers identify a potential improvement to their approach. What should the Product Owner do? (Choose the best answer)","The Product Owner should encourage the Developers to explore improvements that help achieve the Sprint Goal, supporting their autonomy and focus on value. <i>“The Daily Scrum is used to inspect progress toward the Sprint Goal and adapt the Sprint Backlog as necessary.” Scrum Guide 2020</i>",S,pspo-I,Daily Scrum,Ignore the discussion as it is outside the Product Owner's responsibilities.,Incorrect: The Product Owner should stay engaged and understand how changes might impact value delivery.,Encourage the team to explore the improvement if it helps achieve the Sprint Goal.,Correct: The Product Owner should support improvements that align with the Sprint Goal and maximize value.,Ask the Scrum Master to ensure the team does not change their approach mid-Sprint.,Incorrect: The team should be empowered to adapt their plan to best achieve the Sprint Goal.,Direct the team to stick to the original plan to avoid risks.,Incorrect: Flexibility is key in adapting to better ways of working during the Sprint.,,,,,2
The Scrum Master notices that the team is not using the Daily Scrum effectively. What is the best action for the Scrum Master to take? (Choose the best answer),"The Scrum Master should coach the team on how to use the Daily Scrum effectively, helping them to inspect progress and adapt their plans. <i>“The Scrum Master ensures that the event takes place and that attendees understand its purpose.” Scrum Guide 2020</i>",S,pspo-I,Daily Scrum,Dictate how the Daily Scrum should be conducted to ensure it's effective.,Incorrect: The Scrum Master facilitates but does not control the Daily Scrum.,Coach the team on how to use the Daily Scrum to inspect and adapt their progress towards the Sprint Goal.,Correct: The Scrum Master should guide the team in optimizing the Daily Scrum to support their self-management.,Ignore the issue to avoid disrupting the team’s autonomy.,Incorrect: Coaching on effective practices is part of the Scrum Master’s role.,Ask the Product Owner to set the agenda for the Daily Scrum.,"Incorrect: The Daily Scrum is for the Developers, and the Product Owner does not control it.",,,,,2
True or False: The Product Backlog must be fully refined before the start of each Sprint. (Choose the best answer),"Product Backlog refinement is an ongoing process where items are continuously refined and detailed as needed, rather than being fully refined before each Sprint. <i>“Product Backlog refinement is the act of adding detail, estimates, and order to items in the Product Backlog.” Scrum Guide 2020</i>",TF,pspo-I,Product Backlog Management,,Incorrect: The Product Backlog is continuously refined; not all items need to be fully detailed before each Sprint.,,Correct: Product Backlog refinement is an ongoing activity that continues throughout the Sprint.,,,,,,,,,false
True or False: The Product Owner should always adjust the Product Backlog immediately when receiving new feedback. (Choose the best answer),"The Product Owner should evaluate new feedback and adjust the Product Backlog thoughtfully to ensure it aligns with the overall product strategy and value delivery. <i>“The Product Owner is responsible for effective Product Backlog management, including ensuring that the Product Backlog is transparent, visible, and understood.” Scrum Guide 2020</i>",TF,pspo-I,Product Backlog Management,,Incorrect: Immediate adjustments without careful consideration can disrupt the strategic direction of the Product Backlog.,,Correct: The Product Owner should assess feedback carefully and make thoughtful adjustments to the Product Backlog when appropriate.,,,,,,,,,false
Which two strategies should the Product Owner use to maximize the value of the Product Backlog? (Choose the two best answers),Maximizing value involves prioritizing items that deliver the highest business impact and continuously updating the Backlog based on feedback and market changes. <i>“The Product Owner is accountable for maximizing the value of the product resulting from the work of the Scrum Team.” Scrum Guide 2020</i>,M,pspo-I,Product Backlog Management,Order Backlog items based on technical feasibility alone.,"Incorrect: Prioritization should focus on value delivery, not just technical aspects.",Prioritize items that deliver the highest business value first.,Correct: Ordering items by business value ensures the most impactful work is completed first.,Regularly incorporate feedback from stakeholders and the market.,Correct: Incorporating feedback ensures the Product Backlog remains relevant and aligned with external needs.,Ignore minor feedback that does not align with current priorities.,Incorrect: All feedback should be considered to maintain a responsive and adaptable Backlog.,Delegate prioritization to Developers to speed up decision-making.,Incorrect: The Product Owner is responsible for prioritizing the Product Backlog based on value delivery.,,,"2,3"
