title,feedback,answerType,type,domain,answer1,explanation1,answer2,explanation2,answer3,explanation3,answer4,explanation4,answer5,explanation5,answer6,explanation6,correctAnswer
What are three key actions a Scrum Master can take to empower a self-managing Development Team? (Choose the three best answers),"Encouraging ownership, facilitating reflection, and removing obstacles are key actions the Scrum Master takes to empower a self-managing team. <i>'The Scrum Master helps the Development Team become more self-managing through guidance and support.' (Scrum Guide 2020, p. 7)</i>",M,PSM-II,Leadership and Influence,Assigning tasks to the Development Team to manage workload distribution.,Incorrect: The Development Team self-organizes and is responsible for assigning tasks.,Encouraging the team to take ownership of their work and make decisions collectively.,Correct: Encouraging team ownership and decision-making empowers the Development Team.,Helping the team to reflect on their processes and identify areas for improvement.,Correct: Facilitating reflection helps the team continuously improve and become more self-managing.,Removing obstacles that prevent the team from focusing on their work.,Correct: The Scrum Master serves the team by removing obstacles that hinder their progress.,Ensuring that the team follows instructions from stakeholders without question.,Incorrect: The Development Team works collaboratively with stakeholders but is not obligated to follow instructions without discussion.,,,"2,3,4"
What are three benefits of using Scrum in a complex multi-team environment? (Choose the three best answers),"Scrum promotes regular inspection, collaboration, and incremental delivery, which are key benefits in complex multi-team environments. <i>'Scrum is designed to help teams navigate complex environments through transparency, inspection, and adaptation.' (Scrum Guide 2020, p. 3)</i>",M,PSM-II,Scrum in Complex Environments,Scrum enables teams to plan detailed long-term projects with minimal risk.,"Incorrect: Scrum focuses on short-term planning and regular adaptation, not detailed long-term planning.",Scrum allows teams to inspect their progress regularly and adapt to changing conditions.,Correct: Scrum’s empirical process allows teams to adapt to complex and changing environments effectively.,"Scrum promotes collaboration between teams, ensuring that they are aligned on product goals and priorities.","Correct: Scrum encourages cross-team collaboration, which is essential in a multi-team environment.","Scrum requires strict adherence to processes, ensuring that teams remain compliant with organizational standards.",Incorrect: Scrum promotes flexibility and adaptation rather than strict adherence to processes.,"Scrum enables the delivery of increments of value in short timeframes, providing faster feedback loops.",Correct: Scrum’s focus on delivering increments regularly allows for quicker feedback and adjustments in complex environments.,,,"2,3,5"
"During the Sprint, the Development Team faces a technical issue they cannot resolve. How can the Scrum Master best assist the team? (Choose the two best answers)","The Scrum Master should facilitate discussions to help the team solve problems collaboratively and encourage them to work together to resolve challenges. This promotes self-organization and continuous improvement. <i>'The Scrum Master helps those outside the Scrum Team understand which of their interactions with the Scrum Team are helpful and which aren’t.' (Scrum Guide 2020, p. 7)</i>",M,PSM-II,Team Facilitation and Coaching,Ask the Product Owner to remove the task from the Sprint Backlog and replace it with a simpler one.,Incorrect: The Product Owner does not manage the technical challenges of the Development Team.,Facilitate a problem-solving session to help the team find a solution.,Correct: The Scrum Master should facilitate problem-solving within the team to resolve technical issues.,Bring in an external expert to solve the issue for the team.,"Incorrect: While external help can sometimes be useful, the team should ideally resolve issues themselves.",Encourage the team to work together to explore solutions rather than relying on external help.,Correct: The Scrum Master should empower the team to solve problems collaboratively.,Replace the entire Sprint Backlog with new tasks that don’t involve technical challenges.,Incorrect: Replacing the Sprint Backlog undermines the Sprint Goal and the team’s commitment.,,,"2,4"
Which two strategies help multiple Scrum Teams deliver a cohesive product in a complex environment? (Choose the two best answers),"Joint Sprint Reviews and regular communication between teams help ensure a cohesive product in a multi-team environment. <i>'The Scrum of Scrums is an event used to coordinate teams working on the same product.' (Scrum Guide 2020, p. 7)</i>",M,PSM-II,Scrum in Complex Environments,Allow each team to define its own Definition of Done to suit its unique needs.,Incorrect: Teams working on the same product should share a common Definition of Done to maintain consistency.,Hold joint Sprint Reviews to demonstrate the Increment from all teams to stakeholders.,Correct: Joint Sprint Reviews provide a comprehensive view of the product and help stakeholders see the overall progress.,Ensure that the Product Owner creates separate backlogs for each team to manage their work.,Incorrect: There should be a single Product Backlog to ensure all teams are aligned with the product vision and goals.,Facilitate regular communication between teams through events like Scrum of Scrums.,Correct: Regular communication between teams is key to ensuring alignment and resolving dependencies.,Assign each team a separate Product Owner to manage their individual priorities.,Incorrect: A single Product Owner should manage the Product Backlog for all teams.,,,"2,4"
What are the two most effective ways to handle recurring issues in a Scrum Team? (Choose the two best answers),"Conducting root cause analysis during Sprint Retrospectives and experimenting with solutions are effective ways to solve recurring issues. <i>'The Scrum Team continuously improves through inspection and adaptation.' (Scrum Guide 2020, p. 11)</i>",M,PSM-II,Continuous Improvement and Problem Solving,"Address issues immediately during the Daily Scrum, even if they don't relate to the Sprint Goal.",Incorrect: The Daily Scrum is time-boxed and focused on progress toward the Sprint Goal.,Conduct a root cause analysis during the Sprint Retrospective to understand and solve the underlying problem.,Correct: Root cause analysis helps the team identify and resolve the true source of recurring issues.,Wait until the issue becomes critical before addressing it in a future Sprint.,Incorrect: Recurring issues should be addressed before they become critical.,Escalate the problem to management to avoid disruptions in the team’s work.,Incorrect: The Scrum Team should handle their own issues without unnecessary escalation.,Encourage the team to experiment with new solutions and track the results of each experiment.,Correct: Experimenting with solutions allows the team to adapt and find the best approach to solve issues.,,,"2,5"
"A Scrum Team struggles with communication during the Daily Scrum, often exceeding the 15-minute timebox. How can the Scrum Master help them improve? (Choose the three best answers)","The Scrum Master should remind the team of the timebox, facilitate discussions on improving the Daily Scrum, and encourage them to focus on the Sprint Goal. This ensures that the Daily Scrum remains effective and efficient. <i>'The Scrum Master helps the Scrum Team understand Scrum theory and practice.' (Scrum Guide 2020, p. 6)</i>",M,PSM-II,Team Facilitation and Coaching,Remind the team of the 15-minute timebox and the purpose of the Daily Scrum.,Correct: The Scrum Master should remind the team of the importance of sticking to the timebox and focus of the Daily Scrum.,Cancel the Daily Scrum to allow the team more flexibility in managing their time.,Incorrect: Canceling the Daily Scrum goes against the Scrum framework and would hinder collaboration.,Facilitate a discussion to identify why the Daily Scrums are running long and help the team streamline them.,Correct: The Scrum Master should help the team identify and resolve issues that cause the Daily Scrum to run long.,Allow the team to extend the Daily Scrum if they feel it’s necessary.,Incorrect: The Daily Scrum should remain within the timebox regardless of team preferences.,Encourage the team to focus only on progress towards the Sprint Goal during the Daily Scrum.,Correct: The Scrum Master should encourage the team to focus on inspecting progress towards the Sprint Goal during the Daily Scrum.,,,"1,3,5"
True or False: The Sprint Planning event is where the Development Team decides how much work they can commit to for the Sprint.,"The Developers are responsible for selecting the items from the Product Backlog they believe they can complete during the Sprint, based on their capacity. <i>'Sprint Planning initiates the Sprint by laying out the work to be performed for the Sprint.' (Scrum Guide 2020, p. 9)</i>",TF,PSM-II,Understanding Scrum Fundamentals,,"Correct: During Sprint Planning, the Developers determine how much work they can commit to completing during the Sprint.",,Incorrect: The Development Team is responsible for deciding the amount of work they can take on during Sprint Planning.,,,,,,,,,true
True or False: The Scrum Master is responsible for solving technical issues that the Development Team faces during a Sprint.,"The Scrum Master does not directly solve technical issues but facilitates discussions to help the team address them. <i>'The Scrum Master helps the Scrum Team focus on creating high-value Increments.' (Scrum Guide 2020, p. 7)</i>",TF,PSM-II,Continuous Improvement and Problem Solving,,"Incorrect: The Development Team is responsible for solving technical issues, while the Scrum Master facilitates their progress.",,"Correct: The Development Team solves technical issues, while the Scrum Master facilitates discussions and supports their progress.",,,,,,,,,false
"A new Scrum Team has recently completed several Sprints. However, the team often underestimates the amount of work they can complete, frequently missing their Sprint Goals. What should the Scrum Master do? (Choose the best answer)","The Scrum Master should coach the team on effective estimation techniques, ensuring that they accurately assess what they can complete in a Sprint. Sprint Planning should be an opportunity for the team to align on a realistic Sprint Goal. <i>'The Scrum Master helps the Scrum Team focus on creating high-value Increments that meet the Definition of Done.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Team Facilitation and Coaching,Coach the team on effective estimation techniques and facilitate discussions during Sprint Planning.,Correct: The Scrum Master should coach the team on better estimation techniques and guide them during Sprint Planning.,Extend the Sprint length to give the team more time to complete their work.,Incorrect: Extending the Sprint length violates the time-boxing principle of Scrum.,Encourage the Product Owner to lower the Sprint Goal expectations to make them more achievable.,Incorrect: The Sprint Goal should not be lowered arbitrarily; it must reflect the value to be delivered.,Take over the task of estimating the work for the team to ensure they meet their goals.,Incorrect: The Scrum Master should not take over the estimation process but coach the team to improve.,,,,,1
"During a Sprint Retrospective, the team struggles to identify meaningful improvements and feels that they are already performing optimally. How should the Scrum Master handle this?","The Scrum Master should encourage the team to explore deeper areas for improvement, even if they feel they are performing well. <i>'The Scrum Master ensures that the team continues to improve by facilitating effective Retrospectives.' (Scrum Guide 2020, p. 13)</i>",S,PSM-II,Team Facilitation and Coaching,"Facilitate a discussion that encourages the team to explore deeper areas of improvement, focusing on areas they may not have previously considered.","Correct: The Scrum Master should help the team identify areas of improvement they may not have noticed, even if the team feels they are performing well.",Allow the team to conclude the Retrospective early since they feel they are performing at their best.,"Incorrect: Even high-performing teams can benefit from continuous improvement, and the Scrum Master should encourage reflection.",Ask the Product Owner to provide more critical feedback to help the team find areas to improve.,"Incorrect: While stakeholder feedback is valuable, the Scrum Master should help the team reflect on their own performance.",Tell the team to focus on making small changes since they are already performing well.,"Incorrect: The Scrum Master should encourage the team to seek meaningful improvements, not just small changes.",,,,,1
How can a Scrum Master best help a team that is frequently missing its Sprint Goals? (Choose the best answer),The Scrum Master should facilitate the team in identifying the root causes of missed Sprint Goals and help them improve through the Retrospective. <i>Scrum Guide 2020</i>,S,PSM-II,Team Facilitation and Coaching,By extending the Sprint to give the team more time to complete the work.,Incorrect: Sprints are time-boxed and should not be extended.,By helping the team identify the root causes of missed Sprint Goals during the Retrospective.,Correct: The Scrum Master should help the team reflect and identify areas for improvement during the Retrospective.,By reducing the scope of future Sprints to ensure goals are met.,Incorrect: The Development Team should decide how much work they can commit to during Sprint Planning.,By directly managing the team's work to ensure Sprint Goals are met.,Incorrect: The team is self-organized and the Scrum Master should not manage their work.,,,,,2
How can a Scrum Master foster team autonomy during the Sprint?,"The Scrum Master fosters autonomy by encouraging the team to make decisions and take ownership of their work. <i>'The Scrum Master serves the Scrum Team by coaching it in self-management.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Team Facilitation and Coaching,By assigning roles and tasks to ensure the team stays on track.,Incorrect: The Development Team is self-organizing and assigns tasks themselves.,By encouraging the team to make decisions and take ownership of their work.,Correct: The Scrum Master fosters autonomy by encouraging the team to make decisions and own their work.,By stepping in to make decisions when the team encounters difficulties.,Incorrect: The Scrum Master supports the team but does not make decisions for them.,By escalating decision-making to management when the team struggles to reach consensus.,Incorrect: The Scrum Master should coach the team to resolve issues independently without escalation.,,,,,2
How does a Scrum Master best support a team’s self-organization?,"The Scrum Master supports self-organization by facilitating decision-making and encouraging collaboration. <i>'Scrum Teams are self-managing, deciding who does what, when, and how.' (Scrum Guide 2020, p. 5)</i>",S,PSM-II,Team Facilitation and Coaching,By assigning tasks to team members based on their strengths.,Incorrect: The Scrum Team is self-organizing and assigns tasks themselves.,By facilitating team decision-making and encouraging collaboration.,Correct: The Scrum Master supports self-organization by facilitating team decision-making and collaboration.,By escalating decisions to stakeholders when needed.,Incorrect: The team should manage its own decisions without unnecessary escalation.,By enforcing strict processes to ensure efficiency.,Incorrect: Scrum emphasizes flexibility and adaptation over strict processes.,,,,,2
"Mid-Sprint, the Product Owner asks the Development Team to add a new, high-priority feature to the Sprint. The team is already fully committed to their current work. How should the Scrum Master handle this situation? (Choose the best answer)","The Scrum Master should facilitate a discussion between the Product Owner and the Development Team to align on the impact of introducing a new feature mid-Sprint. Changes should not be made without ensuring they won’t compromise the Sprint Goal. <i>'The Scrum Master serves the Product Owner by helping the Scrum Team understand the need for clear and concise Product Backlog items.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Team Facilitation and Coaching,Allow the Product Owner to add the feature and encourage the team to work harder to accommodate the request.,Incorrect: Mid-Sprint changes should not be allowed if they compromise the Sprint Goal.,Facilitate a discussion between the Product Owner and the Development Team to ensure that they understand the impact of adding the new feature.,Correct: The Scrum Master should facilitate a discussion to ensure the team and the Product Owner are aligned on the impact of any mid-Sprint changes.,Tell the Product Owner that the feature must be deferred to the next Sprint.,Incorrect: The Scrum Master should facilitate the conversation rather than making decisions unilaterally.,Replace lower-priority items in the Sprint Backlog with the new feature without consulting the team.,Incorrect: Changes to the Sprint Backlog should be discussed with the Development Team and Product Owner.,,,,,2
"One team member often dominates conversations during meetings, which affects overall team participation. How should the Scrum Master respond?","The Scrum Master should use the Retrospective to facilitate a discussion on team dynamics, encouraging equal participation from all team members. <i>'The Scrum Master helps the Scrum Team improve its practices within the Scrum framework.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Team Facilitation and Coaching,Ask the team member to stop dominating the conversation during meetings.,Incorrect: This approach is too direct and may create conflict.,Facilitate a Retrospective to address team dynamics and encourage equal participation.,Correct: The Scrum Master should use the Retrospective to address communication dynamics and promote balanced participation.,Hold a separate meeting with the team member to discuss the issue privately.,"Incorrect: While a private discussion may be helpful, it’s better to address the issue collectively in a Retrospective.",Ignore the issue and allow the team to manage their own communication.,Incorrect: The Scrum Master should intervene to ensure team collaboration and respect.,,,,,2
What should the Scrum Master do if a team member is consistently failing to collaborate with the rest of the team? (Choose the best answer),The Scrum Master facilitates discussions to address collaboration issues and helps the team member engage more effectively with the team. <i>Scrum Guide 2020</i>,S,PSM-II,Team Facilitation and Coaching,Remove the team member from the Scrum Team.,Incorrect: The Scrum Master does not remove team members but should facilitate collaboration.,Facilitate a discussion to address the lack of collaboration and encourage the team member to engage more effectively.,Correct: The Scrum Master should facilitate a discussion to resolve the issue and encourage collaboration.,Ignore the issue to avoid conflict within the team.,Incorrect: The Scrum Master should address the issue directly to maintain healthy team dynamics.,Assign tasks to the team member that require them to work independently.,"Incorrect: The Scrum Master should encourage collaboration, not promote isolation.",,,,,2
