title,feedback,answerType,type,domain,answer1,explanation1,answer2,explanation2,answer3,explanation3,answer4,explanation4,answer5,explanation5,answer6,explanation6,correctAnswer
Which prompting strategy is most likely to produce consistent responses across repeated requests?,"Consistency is improved by using stable prompt structures with clear instructions and well-defined constraints. <i>Provide clear, specific instructions with context.</i><br><a href='https://platform.openai.com/docs/guides/prompt-engineering' target='_blank'>Source</a>",S,PSM-AI,Effective AI Prompting,"Use clear instructions, stable wording, and explicit constraints.",Consistent prompts produce more predictable and repeatable outputs.,Rewrite the prompt differently every time.,Changing wording unnecessarily increases output variability.,Remove all constraints to maximize flexibility.,Greater flexibility generally reduces consistency.,Ask multiple unrelated questions in a single prompt.,Combining unrelated requests makes the prompt less focused.,,,,,1
What is the best reason to avoid zero-shot prompting when asking for a new team-specific template?,"When a Scrum Team needs a format that is new or unique to them, examples make the expected pattern clearer than zero-shot instructions alone. <i>Zero-shot prompting relies on internal training knowledge and cannot infer team-specific formats.</i><br><a href='https://platform.openai.com/docs/guides/prompt-engineering' target='_blank'>Source</a>",S,PSM-AI,Effective AI Prompting,The model has no example of the template to imitate.,A new team-specific template requires examples or detailed structure to reduce guesswork.,Zero-shot prompting cannot generate structured text.,"Zero-shot prompting can generate structured text, but the structure may not match expectations.",Zero-shot prompting always produces inaccurate content.,"It may produce useful content, but accuracy and fit are not guaranteed.",Zero-shot prompting disables context in the prompt.,Context can still be included in a zero-shot prompt.,,,,,1
"The Scrum Team adds an AI security scanner, but its findings are difficult to explain. What is the most responsible next step?",The question focuses on transparency when AI contributes to quality assessment. AI-generated findings should be reviewed and made understandable so the Scrum Team can decide whether they belong in the product's quality expectations. <i>Transparency enables inspection. Inspection without transparency is misleading and wasteful.</i><br><a href='https://www.scrum.org/resources/scrum-guide' target='_blank'>Source</a>,S,PSM-AI,AI for Scrum Masters,"Clarify how scanner findings will be reviewed, explained, and reflected in the Definition of Done if relevant.",The team should preserve transparency and ensure AI-supported quality checks are understandable and actionable.,Ignore explanations because automated security tools are usually reliable.,Reliability cannot be assumed when findings are unclear or difficult to interpret.,Treat every AI finding as a blocking defect without discussion.,AI findings need human review because they may be false positives or lack context.,Remove all security checks from the Definition of Done until the tool improves.,Removing quality expectations weakens the shared understanding of Done.,,,,,1
"When evaluating an AI system, which concern most directly reflects ethical AI practice?","The question focuses on the ethical consequences of AI use, not the novelty or productivity of the tool. Responsible AI requires inspecting how decisions and outputs may affect people. <i>Using AI responsibly and ethically is mandatory to prevent harm, ensure fairness, and maintain public trust.</i><br><a href='https://www.scrum.org/resources/blog/responsible-ethical-ai' target='_blank'>Source</a>",S,PSM-AI,AI Ethic and Security,"Whether the system may create unfair, opaque, unsafe, or unaccountable outcomes.","Ethical evaluation should consider fairness, transparency, safety, and responsibility for consequences.",Whether the system can generate longer answers than previous tools.,Output length does not determine whether AI is ethical or safe.,Whether the system can replace team discussions with automated conclusions.,Replacing human judgment can increase ethical and accountability risks.,Whether the system uses the newest model available from the vendor.,A newer model does not automatically make the system responsible or ethical.,,,,,1
"During preparation for a workshop, the Scrum Master uses AI to suggest icebreakers for a diverse group. What is most important?","This question checks whether the Scrum Master can use AI responsibly in facilitation design. AI may generate useful options, but the Scrum Master must inspect their fit with the group, purpose, and psychological safety. <i>I'm facilitating a cross-cultural session—what icebreakers promote psychological safety?</i><br><a href='https://www.scrum.org/resources/blog/chatgpt-prompt-library-facilitators' target='_blank'>Source</a>",S,PSM-AI,AI for Scrum Masters,Review the suggestions and choose activities that support the workshop purpose and psychological safety.,AI-generated ideas must be filtered through human judgment and the needs of the group.,Use the first AI suggestion to save preparation time.,"The first suggestion may not fit the group, purpose, or context.",Let AI randomly assign participants to sensitive discussion groups.,Random grouping can create discomfort or reduce safety if context is ignored.,Allow AI to decide which participants should speak first.,Facilitation choices should remain intentional and human-led.,,,,,1
A manager wants the Scrum Master to use AI productivity scores to identify underperforming Developers. What should the Scrum Master do first?,"This question checks whether the Scrum Master understands that AI metrics can create ethical and cultural risks when used for individual control. The focus should remain on team value, transparency, and responsible accountability. <i>prevent harm, ensure fairness</i><br><a href='https://www.scrum.org/resources/blog/responsible-ethical-ai' target='_blank'>Source</a>",S,PSM-AI,AI for Scrum Masters,Challenge the use of individual AI scores and refocus the discussion on team outcomes and responsible use.,The Scrum Master should protect team self-management and avoid reducing complex collaboration to individual AI scores.,Share the scores with the Product Owner to help reorder the Product Backlog.,Individual productivity scores are not a valid basis for Product Backlog ordering.,Use the scores to assign Sprint Backlog work more efficiently.,This undermines self-management and may increase mistrust.,Tell Developers to accept the scores because AI reduces human bias.,AI can still introduce bias and should not replace responsible human judgment.,,,,,1
Why is an AI system that detects defects on a production line not an example of AGI?,"This question tests the distinction between Artificial Narrow Intelligence and Artificial General Intelligence. A system optimized for one bounded task may be useful and advanced, but it is not AGI. <i>single specific task</i><br><a href='https://www.scrum.org/resources/blog/20-ai-keywords-agile-professionals-must-know' target='_blank'>Source</a>",S,PSM-AI,AI Theory and Primer,It is designed for a specific task rather than broad human-level reasoning.,"A defect detection system can be valuable, but it remains narrow because its capability is bounded to one purpose.",It cannot be considered AI unless it uses a Large Language Model.,"AI is broader than LLMs and can include vision, prediction, classification, and other systems.",It becomes AGI as soon as it performs better than humans at defect detection.,Superior performance in one task does not equal general intelligence.,It is not AI because it does not produce text or images.,AI systems do not need to generate content to be considered AI.,,,,,1
Which prompt library design is most useful for repeated Scrum facilitation tasks?,This question checks whether the learner understands that a useful prompt library should be structured around repeatable needs. Organizing prompts by purpose and using placeholders improves both accessibility and consistency. <i>Prompt Library for Facilitators</i><br><a href='https://www.scrum.org/resources/blog/chatgpt-prompt-library-facilitators' target='_blank'>Source</a>,S,PSM-AI,Effective AI Prompting,"Templates organized by facilitation purpose with placeholders for context, audience, and desired output.",This structure supports reuse while helping the prompt remain specific to the facilitation situation.,A collection of unedited AI conversations copied after each Scrum event.,Raw conversations are difficult to reuse and may contain irrelevant or sensitive information.,A single document containing every prompt without labels or structure.,"Without organization, the library becomes harder to search, maintain, and reuse.",A private archive controlled only by the Scrum Master.,A private archive limits collaboration and prevents the Scrum Team from learning together.,,,,,1
Developers want to train an internal AI tool using years of team chat history. What is the most responsible response?,This question checks whether the learner understands that internal communication data still requires ethical and security safeguards. Responsible AI use should limit collection to a clear purpose and protect people from unnecessary exposure. <i>Responsible & Ethical AI</i><br><a href='https://www.scrum.org/resources/blog/responsible-ethical-ai' target='_blank'>Source</a>,S,PSM-AI,AI Ethic and Security,"Assess purpose, consent, data sensitivity, access control, and retention before using the chat history.","Historical chat data may contain personal, confidential, or sensitive information and must be governed carefully.",Use all available chat history because more data will always improve AI quality.,More data can increase risk and does not automatically improve responsible or useful AI outcomes.,Exclude only messages from external stakeholders and use all internal messages freely.,Internal messages may still contain sensitive or personal information.,Let the AI tool filter inappropriate messages during training.,"Filtering after the data is provided does not replace prior review, consent, and minimization.",,,,,1
The Scrum Team is offered an AI tool that assigns each task to the Developer with the highest predicted efficiency. What is the best concern to discuss?,"This question checks whether the learner sees the difference between optimizing individuals and improving the Scrum Team as a system. AI-driven assignment can appear rational while weakening collective accountability and collaboration. <i>The A3 Framework: Assist, Automate, Avoid - A Decision System for AI Delegation</i><br><a href='https://www.scrum.org/resources/blog/a3-framework-assist-automate-avoid-decision-system-ai-delegation' target='_blank'>Source</a>",S,PSM-AI,AI for Scrum Masters,The tool may optimize individual efficiency while reducing shared ownership of the Sprint work.,The apparent efficiency gain may harm collaboration if Developers no longer manage work together.,The AI may not format task descriptions according to the team's preferred template.,Formatting is not the most important concern when team ownership is at risk.,The tool may reduce the time needed for Sprint Planning.,Reducing planning time is not valuable if it weakens self-management.,The Product Owner may use the tool to reorder the Product Backlog more frequently.,"The issue is assignment of Sprint work, not Product Backlog ordering.",,,,,1
