title,feedback,answerType,type,domain,answer1,explanation1,answer2,explanation2,answer3,explanation3,answer4,explanation4,answer5,explanation5,answer6,explanation6,correctAnswer
True or False: The Product Owner can change the order of Product Backlog items during a Sprint if new priorities arise.,"The Product Backlog is continuously refined as priorities change, even during a Sprint, but care must be taken to preserve the Sprint Goal. <i>The Product Backlog is an evolving artifact, and its order can change as needed.</i> (Scrum Guide 2020, p. 14).",TF,PSPO-II,Product Management & Maximizing value,,"Correct: The Product Owner can adjust the Product Backlog if business priorities change, but this should not disrupt the Sprint Goal.",,Incorrect: The Product Owner cannot change backlog priorities once the Sprint has started.,,,,,,,,,true
True or False: The Product Owner can change the Definition of Done to expedite product delivery if necessary.,"The Definition of Done is an agreement between the entire Scrum Team, and the Product Owner cannot modify it alone to expedite delivery. <i>The Scrum Team defines the Definition of Done.</i> (Scrum Guide 2020, p. 10).",S,PSPO-II,Product Management & Maximizing value,False,Correct: The Definition of Done is a shared agreement between the Scrum Team and cannot be changed unilaterally by the Product Owner.,True,Incorrect: Adjusting the Definition of Done can help the Product Owner ensure faster product releases.,,,,,,,,,1
True or False: The Product Backlog is the only artifact in Scrum that can be adapted during the Sprint.,"All Scrum artifacts (Product Backlog, Sprint Backlog, Increment) are subject to adaptation to ensure the work stays aligned with current realities. <i>Scrum's artifacts represent work or value, and they provide transparency and opportunities for inspection and adaptation.</i> (Scrum Guide 2020, p. 10).",S,PSPO-II,Principles and Framework,False,"Correct: All three Scrum artifacts—the Product Backlog, the Sprint Backlog, and the Increment—can be adapted as needed during the Sprint based on new insights.",True,Incorrect: The Product Backlog is the only artifact that is continuously adapted during the Sprint.,,,,,,,,,1
True or False: The product vision and the product goal are interchangeable terms in Scrum.,"The product vision and product goal serve different purposes: the vision provides overarching direction, while the goal focuses on immediate objectives. <i>The Product Goal is the Scrum Team's objective for the product.</i> (Scrum Guide 2020, p. 13).",S,PSPO-II,Product Vision & Strategy,False,"Correct: The product vision provides long-term direction, while the product goal focuses on specific objectives for the current increment.",True,Incorrect: Both terms refer to the same concept and can be used interchangeably.,,,,,,,,,1
Which three techniques are essential for a Product Owner to optimize value delivery when stakeholder demands conflict with business objectives? (Choose the three best answers),"The Product Owner must balance stakeholder demands and business objectives, using Sprint Reviews to clarify and align expectations while collaborating to maximize value. <i>The Product Owner is accountable for maximizing value delivered by the Scrum Team.</i> (Scrum Guide 2020, p. 6).",M,PSPO-II,Collaboration with the development team and stakeholders,Balancing stakeholder demands with long-term business objectives,Correct: Balancing these ensures that short-term demands do not compromise long-term goals.,Prioritizing stakeholder demands over business objectives,"Incorrect: The Product Owner must maintain a balance, not favor one over the other.",Using Sprint Reviews to negotiate and realign stakeholder expectations,Correct: Sprint Reviews provide an opportunity to clarify business objectives and align them with stakeholder demands.,Freezing the Product Backlog to avoid unnecessary changes,Incorrect: The Product Backlog should remain adaptable to accommodate both evolving stakeholder demands and business goals.,Collaborating with stakeholders to reach a compromise that maximizes value for the business,Correct: Collaborative decision-making ensures that both business objectives and stakeholder demands are addressed.,,,"1,3,5"
Which three actions should a Scrum Master take to foster the Scrum Value of Respect in the team? (Choose the three best answers),"Respect in a Scrum Team is built through active listening, conflict resolution with understanding, and valuing everyone's contributions. <i>Scrum encourages collaboration and respect for each other's abilities and perspectives.</i> (Scrum Guide 2020, p. 5).",M,PSPO-II,Principles and Framework,Encouraging team members to actively listen to one another's ideas,Correct: Respect is shown by listening and valuing the input of all team members.,Facilitating conflict resolution with a focus on understanding different perspectives,Correct: Resolving conflicts respectfully involves understanding and valuing different viewpoints.,Allowing only the most experienced team members to make key decisions,"Incorrect: This undermines respect by not valuing input from all team members, regardless of experience.",Promoting an environment where everyone’s contribution is valued,Correct: A respectful environment ensures that all contributions are appreciated and acknowledged.,Ensuring that the Product Owner makes all final decisions without input from the team,"Incorrect: Decision-making in Scrum is collaborative, and all team members' inputs are valued.",,,"1,2,4"
Which three practices are essential for maximizing value in a Scrum project? (Choose the three best answers),"Maximizing value in Scrum requires continuous refinement, delivering high-priority items, and using Sprint Reviews to gather feedback. <i>The Product Owner ensures that the Product Backlog is continuously refined and adjusted to deliver maximum value.</i> (Scrum Guide 2020, p. 14).",M,PSPO-II,Product Management & Maximizing value,Continuously refining the Product Backlog based on stakeholder feedback,Correct: Regular refinement ensures the Product Backlog remains aligned with evolving needs and delivers maximum value.,Limiting changes to the Product Backlog to maintain stability,Incorrect: The Product Backlog must remain flexible to accommodate changes and maximize value.,Focusing on delivering the highest-priority items,Correct: Focusing on the most valuable items ensures the team delivers maximum value quickly.,Keeping the Product Vision fixed for the entire project,Incorrect: The Product Vision should evolve based on market and stakeholder needs.,Using Sprint Reviews to gather feedback and adapt the product,Correct: Sprint Reviews provide opportunities to adapt and maximize value through feedback.,,,"1,3,5"
Which three approaches should a Product Owner use to ensure that the Product Vision supports innovation within the Scrum Team? (Choose the three best answers),"The Product Owner fosters innovation by encouraging experimentation, incorporating stakeholder feedback, and using data-driven insights to identify opportunities. <i>Innovation helps keep the Product Vision relevant and competitive.</i> (Scrum Guide 2020, p. 6).",M,PSPO-II,Product Vision & Strategy,Encourage experimentation and innovation within the Scrum Team to explore new solutions,Correct: Experimentation fosters innovation and helps the Scrum Team discover creative solutions.,Maintain a fixed Product Vision to ensure stability and prevent scope creep,Incorrect: A fixed Product Vision can stifle innovation and limit the team's ability to explore new ideas.,Regularly incorporate feedback from stakeholders to keep the vision relevant and innovative,Correct: Stakeholder feedback helps ensure the Product Vision remains aligned with market needs and fosters innovation.,Use data-driven insights to identify opportunities for innovation and market leadership,Correct: Data-driven insights help the Product Owner identify trends and opportunities for innovation.,Focus on maintaining the current roadmap without deviation,Incorrect: The Product Vision should be flexible enough to allow for innovation and adaptation.,,,"1,3,4"
Which two actions allow the Product Owner to continuously improve the product value delivered by the Scrum Team? (Choose the two best answers),"The Product Owner maximizes value by engaging with stakeholders and continuously refining the Product Backlog to ensure the team works on the most valuable items. <i>The Product Owner is accountable for maximizing the value of the product resulting from the work of the Scrum Team.</i> (Scrum Guide 2020, p. 5).",M,PSPO-II,Product Management & Maximizing value,Frequent Product Backlog refinement sessions,Correct: Continuous refinement of the Product Backlog ensures that the most valuable items are always prioritized and ready for development.,Regular stakeholder engagement to gather feedback,Correct: Engaging stakeholders throughout the development process allows the Product Owner to adjust priorities based on business needs.,Tracking Development Team velocity,Incorrect: Velocity measures productivity but does not directly ensure value delivery.,Prioritizing technical debt over new features,"Incorrect: While addressing technical debt is important, it may not always be the top priority for maximizing value.",Assigning tasks to the Development Team,Incorrect: The Development Team is self-organizing and assigns its own tasks.,,,"1,2"
Which two approaches help a Product Owner ensure effective collaboration between the Scrum Team and stakeholders? (Choose the two best answers),"The Product Owner ensures effective collaboration by involving stakeholders in Sprint Reviews and regularly updating the Product Backlog based on their input. <i>The Scrum Team and stakeholders collaborate in the Sprint Review to assess the product Increment.</i> (Scrum Guide 2020, p. 13).",M,PSPO-II,Collaboration with the development team and stakeholders,Involving stakeholders in Sprint Reviews for feedback,Correct: Involving stakeholders in Sprint Reviews helps ensure alignment and provides an opportunity for valuable feedback.,Regular updates to the Product Backlog based on stakeholder input,Correct: Updating the Product Backlog with stakeholder input ensures that their needs and priorities are considered in future work.,Delegating all stakeholder interactions to the Scrum Master,"Incorrect: The Product Owner is responsible for engaging with stakeholders, not delegating this task.",Communicating only at the beginning and end of each Sprint,Incorrect: Continuous communication with stakeholders is key to maintaining alignment.,Keeping stakeholder involvement minimal to avoid distractions,Incorrect: Stakeholder involvement is critical to delivering value and should not be minimized.,,,"1,2"
