title,feedback,answerType,type,domain,answer1,explanation1,answer2,explanation2,answer3,explanation3,answer4,explanation4,answer5,explanation5,answer6,explanation6,correctAnswer
True or False: The Definition of Done ensures that each Increment meets the agreed quality standards before it is considered complete. (Choose the best answer),"The Definition of Done establishes the shared quality standards for each Increment, ensuring all completed work meets the agreed criteria. <i>The Definition of Done helps Scrum Teams improve quality by clarifying what’s needed for each Increment.</i> (Scrum Guide 2020)",TF,PSM-I,Concepts,,Correct: The Definition of Done sets the minimum quality criteria that each Increment must meet to be considered complete.,,Incorrect: The Definition of Done is specifically designed to define the criteria for completed work and ensure quality standards are met.,,,,,,,,,true
True or False: The Definition of Done is used to create transparency by providing a shared understanding of what it means for work to be complete. (Choose the best answer),"The Definition of Done provides a clear standard for what it means for work to be complete, creating transparency and ensuring consistent quality. <i>The Definition of Done creates transparency by providing everyone a shared understanding of what work was completed.</i> (Scrum Guide 2020)",TF,PSM-I,Concepts,,"Correct: The Definition of Done ensures everyone understands when work is considered complete, enhancing transparency.",,Incorrect: The Definition of Done is specifically designed to create a shared understanding of completeness and quality.,,,,,,,,,true
Which three practices can help a Scrum Team manage technical debt without compromising Sprint Goals? (Choose the three best answers),"Including technical debt in the Definition of Done, dedicating part of each Sprint to address it, and using automation are key practices for managing technical debt effectively. <i>Technical debt management ensures sustainable product quality.</i> (Scrum Guide 2020)",M,PSM-I,Concepts,Focusing solely on new features and ignoring technical debt until the product is stable.,Incorrect: Ignoring technical debt increases long-term risks and reduces product quality.,Including technical debt resolution as part of the Definition of Done.,Correct: Incorporating technical debt into the Definition of Done ensures it is addressed continuously.,Allocating a percentage of each Sprint specifically for managing technical debt.,Correct: Dedicating part of the Sprint to address technical debt helps maintain a balance between new development and quality maintenance.,Postponing all technical debt tasks to dedicated maintenance Sprints.,Incorrect: Postponing technical debt creates a backlog of issues that can become unmanageable.,Using automated tools to identify and resolve technical debt continuously.,Correct: Automation helps the team manage technical debt efficiently without disrupting their focus on the Sprint Goal.,,,"1,3,5"
Which two roles collaborate most closely to ensure that the Definition of Done is consistently applied to all Increments? (Choose the two best answers),"The Developers are directly responsible for meeting the Definition of Done, with support from the Scrum Master to ensure quality standards are upheld. <i>The Definition of Done creates transparency by providing a shared understanding of what work was completed.</i> (Scrum Guide 2020)",M,PSM-I,Concepts,Product Owner and Developers,Incorrect: The Product Owner is involved in backlog management but does not directly enforce the Definition of Done.,Developers and Scrum Master,"Correct: The Developers ensure their work meets the Definition of Done, with the Scrum Master supporting by facilitating adherence to quality standards.",Scrum Master and Product Owner,"Incorrect: While the Scrum Master supports process adherence, the Product Owner is not responsible for applying the Definition of Done.",Developers and Stakeholders,Incorrect: Stakeholders provide feedback but do not enforce the Definition of Done.,Scrum Master and Stakeholders,Incorrect: Stakeholders are involved in feedback but not in maintaining the Definition of Done.,,,"1,2"
A Scrum Team is facing frequent last-minute changes from the Product Owner during the Sprint. What is the best action for the Scrum Master? (Choose the best answer),"The Scrum Master should facilitate discussions to emphasize the importance of managing changes through the Product Backlog, maintaining Sprint focus. <i>Scrum Teams only commit to work selected during Sprint Planning.</i> (Scrum Guide 2020)",S,PSM-I,Sprint Management,Allow the changes to keep the Product Owner satisfied and adaptable.,Incorrect: Allowing frequent changes disrupts the team's focus and compromises the Sprint Goal.,Facilitate a discussion with the Product Owner on the importance of maintaining the Sprint Backlog integrity and managing changes through the Product Backlog.,Correct: Managing changes through the Product Backlog maintains Sprint focus while accommodating evolving needs.,Ignore the changes to avoid conflict with the Product Owner.,Incorrect: Ignoring changes can lead to misalignment and unresolved issues.,Ask the Developers to manage the changes directly with the Product Owner.,"Incorrect: Changes should be managed collectively, ensuring alignment with the Sprint Goal and Scrum processes.",,,,,2
Which two strategies can help the Scrum Master support the team in enhancing their communication and collaboration skills? (Choose the two best answers),"Team-building exercises and communication workshops help enhance the Scrum Team’s ability to work together effectively, fostering a collaborative environment. <i>Effective communication is critical to a Scrum Team’s success.</i> (Scrum Guide 2020)",M,PSM-I,Tools and Techniques,Conducting one-on-one sessions to coach individual team members privately.,"Incorrect: While coaching can be valuable, collective improvement in communication is best fostered through team-wide practices.",Using team-building exercises during Retrospectives to strengthen relationships.,Correct: Team-building activities can improve trust and communication among team members.,Encouraging the team to avoid conflicts by limiting direct communication when disagreements arise.,Incorrect: Avoiding communication hinders collaboration and problem-solving.,Facilitating workshops on effective communication techniques tailored to the team’s needs.,Correct: Workshops can provide practical tools and strategies to improve how the team communicates and collaborates.,Assigning the most experienced Developer to lead all discussions.,Incorrect: Assigning a leader undermines team autonomy and balanced participation.,,,"1,4"
"During Sprint Planning, the team disagrees on the priority of a Product Backlog item. How should the Scrum Master handle this? (Choose the best answer)","The Scrum Master should facilitate discussions to help the team align on priorities, ensuring collaborative decision-making during Sprint Planning. <i>Sprint Planning defines what can be delivered in the Sprint and how that work will be achieved.</i> (Scrum Guide 2020)",S,PSM-I,Scrum Events,Decide the priority to keep the planning session moving smoothly.,Incorrect: The Scrum Master facilitates but does not make decisions on backlog priorities.,Facilitate a discussion to ensure all perspectives are heard and guide the team toward a consensus.,Correct: Facilitating discussions helps the team align on priorities and make collaborative decisions.,Ask the Product Owner to set the priority without team input.,"Incorrect: While the Product Owner owns backlog prioritization, team input is essential for alignment.",Move the item to the next Sprint to avoid immediate conflict.,Incorrect: Postponing decisions disrupts planning and may impact the Sprint’s effectiveness.,,,,,2
"During the Sprint, a Developer suggests a new tool that could automate part of the testing process, but it would require time to implement. What should the Scrum Master do? (Choose the best answer)","The Scrum Master should facilitate discussions during the Retrospective to assess new tools, ensuring changes are well-considered and aligned with team goals. <i>The Sprint Retrospective is an opportunity to plan ways to increase quality and effectiveness.</i> (Scrum Guide 2020)",S,PSM-I,Tools and Techniques,Encourage the team to implement the tool immediately to improve efficiency.,Incorrect: Introducing new tools mid-Sprint can disrupt focus and the planned work.,Facilitate a discussion during the next Sprint Retrospective to evaluate the potential benefits and feasibility of the tool.,Correct: The Retrospective is a suitable event to discuss process improvements and potential tool integrations.,Reject the idea to avoid any disruptions to the current Sprint.,"Incorrect: Improvements and innovations should be considered, but at the right time.",Ask the Product Owner to decide whether the tool should be implemented.,"Incorrect: Decisions about process improvements are within the team’s remit, not the Product Owner’s responsibility.",,,,,2
"During Sprint Planning, the Developers want to take on more work than they have capacity for. What should the Scrum Master do? (Choose the best answer)","The Scrum Master should facilitate discussions to help the team assess their capacity and make realistic commitments during Sprint Planning, ensuring sustainable pace and focus on the Sprint Goal. <i>The Developers can select whatever structure and techniques they want, as long as their Daily Scrum focuses on progress toward the Sprint Goal.</i> (Scrum Guide 2020)",S,PSM-I,Sprint Management,Encourage the Developers to take on as much work as possible to maximize productivity.,Incorrect: Overcommitting can lead to incomplete work and burnout.,Facilitate a discussion on realistic capacity and the importance of meeting the Sprint Goal without overloading the team.,Correct: The Scrum Master helps ensure the team plans work that is achievable within their capacity.,Let the Product Owner decide how much work should be included in the Sprint.,Incorrect: The Product Owner prioritizes the Product Backlog but does not dictate the amount of work Developers take on.,Ignore the issue as it’s up to the Developers to manage their workload.,Incorrect: The Scrum Master should support the team in planning realistic workloads that align with their capacity.,,,,,2
"A Scrum Team is frequently missing their Definition of Done, leading to quality issues. What is the best action for the Scrum Master? (Choose the best answer)","The Scrum Master should facilitate discussions to integrate quality practices throughout the development process, helping the team consistently meet the Definition of Done. <i>The Definition of Done helps ensure quality standards are met consistently.</i> (Scrum Guide 2020)",S,PSM-I,Concepts,Extend the Sprint to allow the team more time to meet the Definition of Done.,Incorrect: Extending the Sprint disrupts the Scrum cadence and is not allowed.,Facilitate a discussion on how the team can integrate quality practices earlier in the development process to meet the Definition of Done consistently.,Correct: Integrating quality practices helps the team meet standards consistently and improve their delivery.,Assign specific Developers to handle quality checks before work is considered done.,"Incorrect: Quality is a collective responsibility, not the task of individual Developers.",Ignore the issue as it’s normal for some items to miss the Definition of Done.,Incorrect: Consistently missing the Definition of Done indicates a need for process improvement.,,,,,2
