title,feedback,answerType,type,domain,answer1,explanation1,answer2,explanation2,answer3,explanation3,answer4,explanation4,answer5,explanation5,answer6,explanation6,correctAnswer
What are three ways the Scrum Master can support collaboration between the Product Owner and stakeholders? (Choose the three best answers),"Facilitating communication, helping with backlog refinement, and coaching the Product Owner are key ways the Scrum Master supports stakeholder collaboration. <i>'The Scrum Master helps the Scrum Team and the larger organization adopt Scrum.' (Scrum Guide 2020, p. 7)</i>",M,PSM-II,Collaboration with Stakeholders,By ensuring that stakeholders attend every Scrum event to stay informed.,Incorrect: Stakeholders do not need to attend every Scrum event; the Sprint Review is the key event for their involvement.,Facilitating communication between the Product Owner and stakeholders to ensure transparency and alignment.,Correct: The Scrum Master helps ensure effective communication and alignment between the Product Owner and stakeholders.,Helping the Product Owner refine the Product Backlog to reflect stakeholder needs and priorities.,Correct: Refining the Product Backlog ensures that stakeholder needs are properly considered and prioritized.,Coaching the Product Owner on how to effectively engage with stakeholders and manage their expectations.,Correct: Coaching the Product Owner on stakeholder engagement is a key part of the Scrum Master’s role.,Allowing stakeholders to provide direct input on the Development Team’s daily activities.,"Incorrect: Stakeholders should collaborate with the Product Owner, not the Development Team directly.",,,"2,3,4"
What are three ways the Scrum Master can demonstrate servant leadership within a Scrum Team? (Choose the three best answers),"The Scrum Master serves the team by facilitating events, removing obstacles, and providing support without dictating solutions. <i>'The Scrum Master is a servant leader who supports the team’s ability to function effectively.' (Scrum Guide 2020, p. 7)</i>",M,PSM-II,Leadership and Influence,Taking control of decision-making to ensure alignment with the Sprint Goal.,"Incorrect: The Scrum Master should support the team’s decision-making, not control it.",Facilitating Scrum events to ensure they are effective and productive.,"Correct: Facilitating events is a key part of servant leadership, helping the team stay on track.",Helping the team identify and remove obstacles that slow their progress.,"Correct: Removing obstacles is a way the Scrum Master serves the team, helping them achieve their goals.",Providing guidance and support rather than dictating solutions.,Correct: Servant leaders offer guidance but empower the team to make decisions and solve problems.,Enforcing strict adherence to the Scrum framework without flexibility.,"Incorrect: The Scrum Master promotes understanding and adaptation of Scrum principles, not rigid enforcement.",,,"2,3,4"
What are two reasons that Scrum Teams use time-boxed Sprints? (Choose the two best answers),"Time-boxing ensures that Sprints maintain focus, create predictability, and limit unnecessary changes. <i>'Sprints are the heartbeat of Scrum, providing regularity.' (Scrum Guide 2020, p. 9)</i>",M,PSM-II,Understanding Scrum Fundamentals,To control how long team members work on specific tasks.,Incorrect: Time-boxes are not for controlling tasks but for creating focus and regularity.,To create a predictable cadence that ensures regular delivery of value.,"Correct: Time-boxed Sprints provide regularity, allowing teams to inspect and adapt their progress.",To limit the risk of changes being introduced during the Sprint.,Correct: Time-boxed Sprints help teams remain focused and avoid mid-Sprint scope changes.,To allow the Product Owner to adjust priorities frequently.,"Incorrect: The Product Backlog can be reprioritized between Sprints, but not during an ongoing Sprint.",To accommodate last-minute changes to the Sprint Goal.,Incorrect: The Sprint Goal remains fixed once the Sprint begins.,,,"2,3"
"During Sprint Planning, the Development Team is unable to agree on how to implement a particular feature. What should the Scrum Master do to help? (Choose the two best answers)","The Scrum Master should facilitate discussions to help the team reach a consensus on technical decisions and encourage collaboration. This ensures the team can self-organize and work together effectively. <i>'The Scrum Master helps the Scrum Team understand Scrum theory and practice.' (Scrum Guide 2020, p. 6)</i>",M,PSM-II,Team Facilitation and Coaching,Step in and make the technical decision to help the team move forward.,Incorrect: The Scrum Master does not make technical decisions for the team.,Facilitate a discussion to help the team reach consensus on the technical approach.,Correct: The Scrum Master should facilitate discussions to help the team come to an agreement on the approach.,Ask the Product Owner to resolve the technical disagreement.,"Incorrect: The Product Owner manages the Product Backlog, not technical decisions.",Encourage the team to explore different solutions and make a decision together.,Correct: The Scrum Master should encourage the team to collaborate and decide together on the best approach.,End the Sprint Planning early and ask the team to figure it out later.,Incorrect: Sprint Planning should be used to ensure the team is aligned on how they will implement work.,,,"2,4"
What are two responsibilities of the Scrum Master when it comes to stakeholder collaboration? (Choose the two best answers),"Helping the Product Owner communicate the vision and facilitating stakeholder participation in Sprint Reviews are key responsibilities of the Scrum Master. <i>'The Scrum Master serves the Product Owner by ensuring effective stakeholder collaboration.' (Scrum Guide 2020, p. 7)</i>",M,PSM-II,Collaboration with Stakeholders,Ensuring that stakeholders are invited to the Daily Scrum to track the team’s progress.,Incorrect: Stakeholders do not attend the Daily Scrum; it is for the Development Team.,Helping the Product Owner communicate the product vision and priorities to stakeholders clearly.,Correct: The Scrum Master helps the Product Owner ensure that stakeholders understand the product vision and priorities.,Facilitating stakeholder participation in Sprint Reviews to gather feedback on the product Increment.,Correct: The Sprint Review is the event where stakeholders can provide feedback on the Increment and future priorities.,Prioritizing stakeholder requests based on urgency and business impact.,"Incorrect: Prioritization is the responsibility of the Product Owner, not the Scrum Master.",Ensuring that stakeholders attend all Scrum events to stay informed.,"Incorrect: Stakeholders primarily participate in Sprint Reviews, not all Scrum events.",,,"2,3"
What are three responsibilities of the Product Owner in Scrum? (Choose the three best answers),"The Product Owner manages the Product Backlog, collaborates with stakeholders, and makes decisions to maximize the product’s value. <i>'The Product Owner is accountable for maximizing the value of the product.' (Scrum Guide 2020, p. 7)</i>",M,PSM-II,Understanding Scrum Fundamentals,Managing the Development Team's tasks to ensure they are completed on time.,Incorrect: The Product Owner does not manage the team’s tasks; the Development Team is self-organizing.,"Ensuring the Product Backlog is well-defined, prioritized, and transparent to all stakeholders.",Correct: The Product Owner is responsible for managing and prioritizing the Product Backlog.,Working with stakeholders to refine the Product Backlog and ensure their needs are addressed.,Correct: The Product Owner collaborates with stakeholders to refine the Product Backlog and align it with business needs.,Maximizing the value of the product by making informed decisions about what the team works on.,Correct: The Product Owner is responsible for maximizing the value of the product by effectively managing the Product Backlog.,Attending the Daily Scrum to monitor the Development Team's progress.,Incorrect: The Product Owner is not required to attend the Daily Scrum; this is primarily for the Development Team.,,,"2,3,4"
"True or False: In Scrum, the Sprint Review is primarily focused on inspecting the progress made towards the Product Goal and gathering feedback from stakeholders.","The Sprint Review is an important event where stakeholders can inspect the Increment, provide feedback, and discuss progress toward the Product Goal. <i>'The purpose of the Sprint Review is to inspect the outcome of the Sprint and determine future adaptations.' (Scrum Guide 2020, p. 10)</i>",TF,PSM-II,Understanding Scrum Fundamentals,,Correct: The Sprint Review is a working session where the Scrum Team and stakeholders inspect the Increment and discuss progress towards the Product Goal.,,Incorrect: The Sprint Review focuses on progress towards the Product Goal and is an opportunity for stakeholders to provide feedback.,,,,,,,,,true
True or False: Stakeholders should provide ongoing feedback during the Sprint to ensure that the Development Team can adjust their work in real-time.,"Stakeholders provide feedback primarily during structured events like the Sprint Review, ensuring that the team remains focused on their commitments during the Sprint. <i>'The Sprint Review is a working session to gather feedback and foster collaboration.' (Scrum Guide 2020, p. 10)</i>",TF,PSM-II,Collaboration with Stakeholders,,"Incorrect: Stakeholders provide feedback during specific Scrum events, not continuously during the Sprint.",,"Correct: Feedback from stakeholders typically occurs during the Sprint Review, not continuously during the Sprint, to avoid disrupting the Development Team.",,,,,,,,,false
"A member of the Development Team frequently dominates conversations during meetings, not allowing others to share their input. This has caused frustration among the other team members. What should the Scrum Master do? (Choose the best answer)","The Scrum Master should facilitate a discussion with the team to address the communication issues and ensure that all team members have the opportunity to contribute. Effective communication is essential for a successful Scrum Team. <i>'The Scrum Master serves the Scrum Team by coaching the team members in self-management and cross-functionality.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Team Facilitation and Coaching,Privately ask the team member to speak less during meetings to give others a chance.,Incorrect: The Scrum Master should address the issue openly with the whole team rather than privately handling it.,Facilitate a team discussion on how they can improve communication and ensure everyone has an opportunity to contribute.,Correct: The Scrum Master should facilitate a discussion to address communication challenges and ensure everyone can participate equally.,Ignore the issue and allow the team to self-manage the situation.,Incorrect: The Scrum Master should facilitate open communication within the team rather than ignore the issue.,Give the quieter team members specific tasks to force them to contribute more.,Incorrect: The Scrum Master should not force team members to contribute but should create an environment where everyone feels comfortable sharing.,,,,,2
"During a Sprint Retrospective, the team struggles to come up with actionable improvements and seems disengaged. How should the Scrum Master approach this situation?","The Scrum Master should facilitate a structured Retrospective to help the team identify actionable improvements. <i>'The Scrum Master ensures that the Scrum Team improves its processes, within the Scrum framework.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Team Facilitation and Coaching,"Facilitate a more structured Retrospective, guiding the team to identify specific areas for improvement and encouraging participation.",Correct: The Scrum Master should ensure the Retrospective is structured to help the team focus on actionable improvements and engage fully in the process.,Allow the team to skip the Retrospective since they are unable to come up with improvements.,"Incorrect: The Retrospective is a vital part of Scrum, and the Scrum Master should ensure it is used to identify improvements.",Ask the Product Owner to provide feedback to inspire the team to come up with more improvements.,"Incorrect: While Product Owner feedback is valuable, the Scrum Master should focus on the team's engagement and improvement processes.",Encourage the team to focus only on positive aspects of the Sprint to maintain morale.,Incorrect: The Retrospective should identify both positive aspects and areas for improvement to ensure continuous learning.,,,,,1
How can a Scrum Master best facilitate continuous improvement within the team?,"The Scrum Master facilitates Retrospectives to help the team reflect on their processes and foster continuous improvement. <i>'The Sprint Retrospective is held after the Sprint to plan improvements.' (Scrum Guide 2020, p. 11)</i>",S,PSM-II,Team Facilitation and Coaching,By assigning tasks to each team member to ensure efficiency.,Incorrect: The Development Team is self-organizing and assigns its own tasks.,By facilitating Retrospectives and encouraging the team to reflect on their processes.,"Correct: The Scrum Master facilitates Retrospectives, which allow the team to reflect on and improve their processes.",By directing the team’s work to align with organizational goals.,Incorrect: The Scrum Team is responsible for organizing its work to meet the Sprint Goal.,By preventing changes to the Sprint Backlog to avoid distractions.,"Incorrect: The Sprint Backlog can be adapted if necessary, but it is up to the team to manage it.",,,,,2
How can a Scrum Master foster continuous improvement within the Scrum Team?,"The Scrum Master fosters continuous improvement by facilitating Retrospectives and encouraging reflection on processes. <i>'The Sprint Retrospective is an opportunity to inspect and adapt.' (Scrum Guide 2020, p. 11)</i>",S,PSM-II,Team Facilitation and Coaching,By setting performance targets for the team to achieve in the next Sprint.,Incorrect: The Scrum Team sets its own goals and targets for improvement.,By facilitating Sprint Retrospectives to help the team reflect on their work and processes.,Correct: The Scrum Master promotes continuous improvement by facilitating Retrospectives that help the team reflect on their processes.,By preventing any changes to the Sprint Backlog to maintain focus.,Incorrect: The Sprint Backlog can be adapted during the Sprint based on the team's needs.,By dictating the improvements that the team should implement based on their observations.,"Incorrect: The team should decide on improvements during the Retrospective, with the Scrum Master facilitating the process.",,,,,2
How does a Scrum Master best support a self-managing team?,"The Scrum Master supports self-management by facilitating discussions and enabling the team to make collective decisions. <i>'Scrum Teams are self-managing, deciding who does what, when, and how.' (Scrum Guide 2020, p. 5)</i>",S,PSM-II,Team Facilitation and Coaching,By assigning tasks based on each team member's strengths.,Incorrect: The team is self-organizing and responsible for task assignment.,By facilitating discussions and helping the team make decisions collectively.,Correct: The Scrum Master supports self-management by facilitating discussions and decision-making.,By escalating decisions to upper management when the team struggles.,Incorrect: The Scrum Master should coach the team to solve their problems without unnecessary escalation.,By ensuring strict adherence to Scrum events without flexibility.,Incorrect: Scrum encourages flexibility and adaptation to meet the team's needs.,,,,,2
"Halfway through the Sprint, the Development Team expresses concerns that they may not be able to complete the Sprint Goal. The Product Owner is worried about the potential impact on stakeholders. How should the Scrum Master respond?","The Scrum Master should facilitate a conversation to help the team and Product Owner reassess the Sprint Backlog and ensure they deliver as much value as possible. <i>'The Scrum Master helps the team focus on delivering high-value increments that meet the Sprint Goal.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Team Facilitation and Coaching,Facilitate a conversation between the team and the Product Owner to reassess the Sprint Backlog and determine how they can still deliver value.,Correct: The Scrum Master should help the team and Product Owner assess the situation and adjust as needed to still deliver value.,Encourage the team to work overtime to meet the Sprint Goal and avoid disappointing the stakeholders.,"Incorrect: Scrum promotes sustainable working practices, and the focus should be on delivering value, not working overtime.",Advise the Product Owner to lower the Sprint Goal to match the team’s current progress.,"Incorrect: The Sprint Goal should not be changed mid-Sprint, but the team should reassess how they can best deliver value.",Tell the team to focus on completing the easiest tasks first to ensure some progress is made.,"Incorrect: The team should focus on delivering the most valuable work, not just completing easier tasks to show progress.",,,,,1
One of the team members is struggling with their assigned tasks. How should the Scrum Master help?,"The Scrum Master should facilitate a discussion to encourage team collaboration and help the team member resolve their difficulties. <i>'The Scrum Master helps the Scrum Team improve its practices.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Team Facilitation and Coaching,Reassign the tasks to other team members to avoid delays.,"Incorrect: The team is self-managing, and task distribution should be handled within the team.",Facilitate a team discussion to provide support and help the member resolve their issues.,Correct: The Scrum Master should facilitate a team discussion to encourage collaboration and support.,Take over the tasks to ensure they are completed on time.,Incorrect: The Scrum Master should not take over work; the team is responsible for managing their tasks.,Extend the Sprint to give the team more time to complete the work.,Incorrect: The Sprint duration is time-boxed and should not be extended.,,,,,2
When should the Scrum Master directly intervene in team decision-making? (Choose the best answer),"The Scrum Master should only intervene when the team faces impediments that they cannot resolve on their own. <i>The Scrum Guide 2020</i> says, 'The Scrum Master helps the team remove impediments to progress.'",S,PSM-II,Team Facilitation and Coaching,When the team is about to make a mistake that could lead to failure.,Incorrect: The Scrum Master should let the team learn from their own mistakes to promote self-organization.,When the team is stuck and unable to move forward due to impediments.,Correct: The Scrum Master should intervene to remove impediments that are blocking the team’s progress.,When stakeholders demand changes that contradict the team’s decisions.,Incorrect: The Scrum Master should protect the team’s self-organization from external interference.,When the Product Owner disagrees with the Development Team’s technical choices.,Incorrect: The Scrum Master should not interfere in technical disagreements unless they affect the process.,,,,,2
What is a key responsibility of the Scrum Master in coaching the Product Owner?,"The Scrum Master helps the Product Owner by coaching them on effective communication and stakeholder management. <i>'The Scrum Master helps the Product Owner find techniques for effective Product Backlog management.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Team Facilitation and Coaching,Taking over Product Backlog management when the Product Owner is unavailable.,"Incorrect: The Product Owner is responsible for managing the Product Backlog, not the Scrum Master.",Helping the Product Owner communicate effectively with stakeholders and manage their expectations.,Correct: The Scrum Master coaches the Product Owner to communicate effectively with stakeholders and manage their expectations.,Ensuring the Development Team works on the highest priority items assigned by stakeholders.,"Incorrect: The Product Owner prioritizes the Product Backlog, and the Development Team is self-organizing.",Making decisions on behalf of the Product Owner to streamline the process.,Incorrect: The Product Owner is responsible for making decisions regarding the Product Backlog and priorities.,,,,,2
How can a Scrum Master facilitate continuous improvement in the team?,"The Scrum Master helps the team continuously improve by facilitating reflective Retrospectives and identifying improvements. <i>'The Sprint Retrospective is held to plan ways to increase quality and effectiveness.' (Scrum Guide 2020, p. 11)</i>",S,PSM-II,Continuous Improvement and Problem Solving,By facilitating Retrospectives to help the team identify areas for improvement.,Correct: The Scrum Master helps the team continuously improve by guiding them through reflective Retrospectives.,By assigning specific tasks to improve team performance.,Incorrect: The Scrum Team is self-organizing and assigns tasks itself.,By escalating issues to management to ensure improvements are made.,Incorrect: The team should resolve issues internally before considering escalation.,By enforcing strict adherence to processes to avoid mistakes.,Incorrect: Scrum encourages flexibility and adaptation.,,,,,1
How should a Scrum Master approach continuous improvement within the team?,"The Scrum Master helps the team improve continuously by facilitating Retrospectives and encouraging process reflection. <i>'The Sprint Retrospective is held to plan ways to increase quality and effectiveness.' (Scrum Guide 2020, p. 11)</i>",S,PSM-II,Continuous Improvement and Problem Solving,By assigning tasks to improve processes.,Incorrect: The Scrum Team is self-organizing and assigns tasks itself.,By escalating unresolved issues to upper management for guidance.,Incorrect: The Scrum Master should support the team in resolving issues internally.,By facilitating Retrospectives to help the team reflect on its processes and identify improvements.,Correct: The Scrum Master supports continuous improvement by facilitating Retrospectives and encouraging team reflection.,By enforcing strict adherence to the same processes to maintain consistency.,Incorrect: Scrum promotes flexibility and adaptation to achieve improvement.,,,,,3
"Midway through a Sprint, the Development Team encounters a technical problem they cannot resolve. What is the best approach for the Scrum Master?","The Scrum Master should facilitate a problem-solving session, helping the team explore potential solutions and learn from the experience. <i>'The Scrum Master serves the Scrum Team by coaching the team members in self-management and cross-functionality.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Continuous Improvement and Problem Solving,Bring in an external expert to solve the problem for the team.,Incorrect: The Scrum Master should not solve the problem for the team but help them learn to address it themselves.,Facilitate a problem-solving session with the team to explore potential solutions.,Correct: The Scrum Master should facilitate collaboration within the team to find a solution and promote continuous improvement.,Ask the team to skip the problematic task and return to it in the next Sprint.,Incorrect: Delaying the resolution of the problem can lead to increased technical debt.,Reassign the task to another team member who might have more experience.,Incorrect: Reassigning work does not solve the root problem and may affect team collaboration.,,,,,2
"A Scrum Team consistently faces the same blockers in each Sprint, slowing down progress. The team has identified the issues but has not been able to solve them. What is the best way for the Scrum Master to help?","The Scrum Master should facilitate a Root Cause Analysis to help the team deeply explore the blockers and identify solutions. <i>'The Scrum Master helps the Scrum Team improve how they manage their work and solve complex problems.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Continuous Improvement and Problem Solving,Facilitate a Root Cause Analysis session to help the team deeply explore the underlying causes of the blockers and identify potential solutions.,Correct: The Scrum Master should help the team conduct a Root Cause Analysis to address the persistent blockers effectively.,Encourage the team to work harder to push through the blockers without spending additional time analyzing them.,Incorrect: The team should focus on understanding and solving the blockers rather than simply working harder.,Advise the Product Owner to reduce the Sprint Backlog to minimize the impact of the blockers on the Sprint Goal.,Incorrect: Reducing the Sprint Backlog does not address the underlying causes of the blockers; solving the issues is key.,Ask the team to escalate the blockers to upper management for resolution.,"Incorrect: The Scrum Master should help the team resolve the blockers themselves, rather than escalating them to management.",,,,,1
What is a primary outcome of a Sprint Retrospective?,"The Sprint Retrospective should result in a plan for improving team practices in the next Sprint. <i>'The Scrum Team plans ways to increase quality and effectiveness.' (Scrum Guide 2020, p. 11)</i>",S,PSM-II,Continuous Improvement and Problem Solving,A finalized Product Backlog for the next Sprint.,"Incorrect: The Product Backlog is discussed during Sprint Planning, not the Retrospective.",A detailed action plan to improve team practices in the next Sprint.,Correct: The outcome of the Retrospective is an actionable plan for improving team performance.,New features for the next Sprint based on stakeholder feedback.,"Incorrect: New features are determined during Sprint Planning, based on the Product Backlog and not the Retrospective.",A report on team performance for the stakeholders.,"Incorrect: The Retrospective is focused on team improvement, not reporting to stakeholders.",,,,,2
What is the Scrum Master’s responsibility when the team struggles to resolve an impediment?,"The Scrum Master facilitates discussions and promotes team collaboration to resolve impediments effectively. <i>'The Scrum Master helps the Scrum Team remove impediments to their progress.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Continuous Improvement and Problem Solving,By solving the impediment directly to allow the team to focus.,Incorrect: The Scrum Master helps the team but does not solve impediments directly.,By escalating the issue to upper management to ensure quick resolution.,Incorrect: The team should try to resolve issues themselves without escalation.,By facilitating open discussions to help the team collaborate on resolving the impediment.,Incorrect: The Scrum Master supports the team in resolving impediments through collaboration.,By facilitating discussions to encourage the team to work together to resolve impediments.,Correct: The Scrum Master promotes team collaboration to resolve impediments through discussions.,,,,,4
What should a Scrum Master do when the team struggles to resolve an impediment?,"The Scrum Master facilitates open discussions and encourages team collaboration to address impediments effectively. <i>'The Scrum Master helps the Scrum Team remove impediments to their progress.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Continuous Improvement and Problem Solving,By escalating the issue to upper management for immediate resolution.,Incorrect: The team should first try to resolve the impediment with the Scrum Master's facilitation.,By assigning tasks to team members to focus on resolving the impediment.,Incorrect: The Scrum Team is self-organizing and assigns its own tasks.,By facilitating discussions that help the team collaborate to resolve the impediment.,Incorrect: The Scrum Master supports the team in addressing the impediment themselves.,By facilitating open discussions and encouraging collaboration to resolve the impediment.,Correct: The Scrum Master fosters team collaboration to help resolve impediments.,,,,,4
Which Scrum event is dedicated to continuous improvement?,"The Sprint Retrospective is specifically designed for continuous improvement of team practices and effectiveness. <i>'The purpose of the Sprint Retrospective is to plan ways to increase quality and effectiveness.' (Scrum Guide 2020, p. 11)</i>",S,PSM-II,Continuous Improvement and Problem Solving,Sprint Review,Incorrect: The Sprint Review is about inspecting the product and gathering feedback.,Sprint Retrospective,Correct: The Sprint Retrospective focuses on improving the team's processes and effectiveness.,Daily Scrum,Incorrect: The Daily Scrum focuses on the day-to-day planning and progress inspection.,Product Backlog Refinement,"Incorrect: Refinement is about clarifying the Product Backlog items, not team improvement.",,,,,2
"During a Sprint, the Development Team encounters a critical technical issue that they cannot solve on their own. How should the Scrum Master assist?","The Scrum Master should facilitate a problem-solving session to help the team explore solutions, potentially involving external expertise if necessary. <i>'The Scrum Master helps the Scrum Team improve its practices.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Leadership and Influence,Take over the issue and solve it for the team to ensure progress is maintained.,Incorrect: The Scrum Master should not solve technical problems but facilitate the team in finding a solution.,Facilitate a discussion to help the team explore potential solutions and consider bringing in external expertise if necessary.,"Correct: The Scrum Master should facilitate problem-solving and help the team consider options, including external expertise, if needed.",Ask the Product Owner to cancel the Sprint so the team can address the issue.,Incorrect: Canceling the Sprint is not an appropriate solution for resolving technical issues.,Ask the team to ignore the issue and focus on completing other tasks instead.,Incorrect: Ignoring the issue can affect the quality of the Increment and should be addressed collaboratively.,,,,,2
How can a Scrum Master best help a team that is new to Scrum and struggling to self-organize?,"The Scrum Master should coach the team on Scrum principles and facilitate their decision-making to help them self-organize. <i>'The Scrum Master helps the Scrum Team improve its practices, within the Scrum framework.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Leadership and Influence,By stepping in to make decisions for the team until they are comfortable with Scrum.,Incorrect: The Scrum Master should not make decisions for the team but help them learn to self-organize.,By coaching the team on Scrum principles and facilitating their decision-making processes.,Correct: The Scrum Master should coach and guide the team to help them become self-organizing and improve their decision-making.,By assigning roles to team members to help them understand their responsibilities.,Incorrect: The Scrum Master does not assign roles; the team is responsible for organizing itself.,By imposing a rigid structure until the team demonstrates they can self-organize effectively.,Incorrect: Imposing a rigid structure contradicts the principle of self-organization in Scrum.,,,,,2
How does a Scrum Master demonstrate leadership within a Scrum Team?,"The Scrum Master leads by serving the team and fostering an environment where the team can manage itself and make decisions. <i>'The Scrum Master serves the Scrum Team by coaching it in self-management and cross-functionality.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Leadership and Influence,By serving the team and facilitating their decision-making process.,Correct: The Scrum Master demonstrates leadership by serving the team and fostering self-management.,By assigning tasks to team members based on their skills.,Incorrect: The Scrum Team is self-organizing and assigns tasks independently.,By making decisions for the team to ensure efficiency.,Incorrect: The Scrum Master supports the team but does not make decisions for them.,By escalating unresolved issues to upper management for resolution.,Incorrect: The Scrum Master helps the team resolve issues internally without unnecessary escalation.,,,,,1
What is the Scrum Master’s role in fostering a self-organizing team?,"The Scrum Master fosters self-organization by empowering the team to make decisions about how they approach and organize their work. <i>'Scrum Teams are self-organizing and cross-functional.' (Scrum Guide 2020, p. 5)</i>",S,PSM-II,Leadership and Influence,By assigning roles and responsibilities to team members based on their skills.,Incorrect: The team is self-organizing and should assign their own roles and responsibilities.,By empowering the team to make decisions about how they organize and approach their work.,Correct: The Scrum Master fosters self-organization by empowering the team to make their own decisions about their work processes.,By setting deadlines and ensuring the team adheres to them.,"Incorrect: The Scrum Master helps the team focus on continuous improvement, but the team manages its own deadlines and work processes.",By providing detailed instructions on how to complete tasks during each Sprint.,Incorrect: The Scrum Master does not provide detailed instructions; the team is responsible for managing its work.,,,,,2
What should a Scrum Master do when there is a conflict within the Scrum Team?,"The Scrum Master facilitates communication to help the team resolve conflicts on their own. <i>'The Scrum Master helps the Scrum Team improve its practices.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Leadership and Influence,Resolve the conflict by taking control and deciding how to move forward.,Incorrect: The Scrum Master facilitates the resolution of conflicts but does not take control or make decisions for the team.,Facilitate open communication between the team members to help them resolve the conflict themselves.,Correct: The Scrum Master helps by facilitating discussions that allow the team to resolve conflicts collaboratively.,Ignore the conflict and allow the team to resolve it on their own.,Incorrect: The Scrum Master should facilitate the resolution of conflicts to maintain team harmony and productivity.,Escalate the conflict to senior management if it is not resolved quickly.,Incorrect: The Scrum Master should focus on resolving conflicts within the team without unnecessary escalation.,,,,,2
A key stakeholder bypasses the Product Owner and directly approaches the Development Team with new requirements during the Sprint. What should the Scrum Master do?,"The Scrum Master should remind the stakeholder to work through the Product Owner for new requirements and protect the Development Team from external distractions. <i>'The Scrum Master helps those outside the Scrum Team understand Scrum theory and practice.' (Scrum Guide 2020, p. 7)</i>",S,PSM-II,Leadership and Influence,Ask the Development Team to accommodate the stakeholder’s request if possible.,Incorrect: The Scrum Master should ensure that all requests go through the Product Owner.,"Remind the stakeholder that all new requirements should be discussed with the Product Owner, not the Development Team.",Correct: The Scrum Master should protect the team and ensure the Product Owner manages the Product Backlog and stakeholder requests.,Allow the Development Team to work on the new requirements if they have extra capacity.,"Incorrect: The Development Team should focus on the Sprint Goal, and new requirements should be handled through the Product Owner.",Ask the Product Owner to re-prioritize the Sprint Backlog to accommodate the stakeholder’s request.,Incorrect: The Sprint Backlog should not be re-prioritized mid-Sprint based on stakeholder demands.,,,,,2
