title,feedback,answerType,type,domain,answer1,explanation1,answer2,explanation2,answer3,explanation3,answer4,explanation4,answer5,explanation5,answer6,explanation6,correctAnswer
What is the primary benefit of providing relevant context in a prompt?,"Relevant context helps the model understand the user's situation and produce responses that better address the requested task. <i>Provide clear, specific instructions with context.</i><br><a href='https://platform.openai.com/docs/guides/prompt-engineering' target='_blank'>Source</a>",S,PSM-AI,Effective AI Prompting,It helps the model generate responses that better fit the user's situation.,Relevant context allows the model to tailor its response to the intended task.,It permanently improves the model's future performance.,Individual prompts do not retrain the model.,It guarantees factually correct responses.,Context improves relevance but does not guarantee correctness.,It reduces the computational resources required by the model.,"Prompt context influences output quality, not resource consumption.",,,,,1
What is the main risk of using zero-shot prompting for an unfamiliar Sprint Review report format?,"The main limitation is not that zero-shot prompting cannot produce an answer, but that the answer may fail to match a specific, unfamiliar format. <i>Zero-shot prompting relies on internal training knowledge and cannot infer team-specific formats.</i><br><a href='https://platform.openai.com/docs/guides/prompt-engineering' target='_blank'>Source</a>",S,PSM-AI,Effective AI Prompting,The AI may generate a reasonable report that does not match the agreed format.,Zero-shot prompting can produce plausible outputs while missing the team's specific formatting expectations.,The AI will refuse to answer because no examples are provided.,LLMs can often respond without examples.,The AI will automatically ask for missing examples before answering.,The model may answer directly instead of asking for clarification.,The AI will permanently learn the wrong report format.,A single prompt does not permanently retrain the model.,,,,,1
"Developers use AI to generate acceptance test ideas, but some tests may expose sensitive customer data. What should the Scrum Team do?","The question evaluates whether the Scrum Team can introduce AI without weakening responsible quality practices. AI may help generate tests, but the team must still protect sensitive data and ensure the Increment meets the Definition of Done. <i>The entire Scrum Team is accountable for creating a valuable, useful Increment every Sprint.</i><br><a href='https://www.scrum.org/resources/scrum-guide' target='_blank'>Source</a>",S,PSM-AI,AI for Scrum Masters,Review the AI-generated tests for privacy risks and adapt quality practices before using them.,The team should inspect AI outputs and ensure testing practices remain responsible and compatible with quality expectations.,Use all generated tests because more test coverage always improves quality.,More tests are not valuable if they introduce privacy or compliance risks.,Ask the AI to anonymize the data and proceed without further review.,AI anonymization still requires human validation.,Exclude the Product Owner from the discussion because testing is only a Developer concern.,The whole Scrum Team should collaborate when product quality and risk are affected.,,,,,1
Which statement best reflects responsible use of AI-generated recommendations?,"The question checks whether the learner understands that AI-generated recommendations require responsible human review. Ethical use means considering harm, fairness, transparency, and privacy before relying on outputs. <i>Using AI responsibly and ethically is mandatory to prevent harm, ensure fairness, and maintain public trust.</i><br><a href='https://www.scrum.org/resources/blog/responsible-ethical-ai' target='_blank'>Source</a>",S,PSM-AI,AI Ethic and Security,"Recommendations should be reviewed for bias, privacy impact, explainability, and possible harm.",AI recommendations can appear useful while still creating ethical or security risks.,Recommendations should be accepted when the AI expresses high confidence.,Confidence scores do not remove the need for ethical review and human accountability.,Recommendations should be used only when they reduce delivery time.,Speed alone is not a sufficient standard for responsible AI use.,Recommendations should be hidden from stakeholders to avoid unnecessary concern.,Lack of transparency can reduce trust and weaken accountability.,,,,,1
A workshop includes quiet participants and dominant voices. How should AI be used responsibly by the Scrum Master?,This question tests whether AI is used as preparation support rather than as a controlling mechanism during facilitation. The Scrum Master remains accountable for creating conditions where people can contribute safely. <i>I'm facilitating a cross-cultural session—what icebreakers promote psychological safety?</i><br><a href='https://www.scrum.org/resources/blog/chatgpt-prompt-library-facilitators' target='_blank'>Source</a>,S,PSM-AI,AI for Scrum Masters,Use AI to prepare facilitation techniques that encourage balanced participation without automating control of the group.,"AI can help generate facilitation options, while the Scrum Master protects inclusion and trust.",Let AI interrupt dominant participants automatically during the session.,Automated intervention can harm trust and psychological safety.,Use AI to identify quiet participants and pressure them to speak.,Forcing participation can reduce safety and undermine facilitation.,Let AI determine whose contribution is most valuable.,AI should not judge participant value or replace human facilitation.,,,,,1
"After introducing an AI productivity monitor, Developers start optimizing their visible activity instead of helping each other. What should the Scrum Master do?",This question assesses whether the Scrum Master can recognize the difference between individual activity and effective team culture. AI should not push the team toward local optimization at the expense of collaboration. <i>not individual productivity. It is team culture.</i><br><a href='https://www.scrum.org/resources/blog/a3-framework-assist-automate-avoid-decision-system-ai-delegation' target='_blank'>Source</a>,S,PSM-AI,AI for Scrum Masters,Help the Scrum Team inspect whether the tool is shifting behavior away from collaboration and team value.,The Scrum Master should help the team see system effects and adapt practices that damage collaboration.,Reward the Developers with the highest activity levels to reinforce the new behavior.,Rewarding visible activity may worsen local optimization and reduce collaboration.,Ask the AI to recommend who should pair with whom based on output gaps.,Automated pairing based on output gaps may increase pressure and mistrust.,Keep the monitor because any measurable increase in activity is beneficial.,More visible activity does not necessarily mean more value or better teamwork.,,,,,1
"A Scrum Master says an LLM is AGI because it can write code, summarize meetings, and draft emails. What is the best response?",This question checks whether the learner avoids overclassifying useful generative AI as AGI. A system can assist with several language-based activities while still lacking general intelligence. <i>Artificial General Intelligence</i><br><a href='https://www.scrum.org/resources/blog/20-ai-keywords-agile-professionals-must-know' target='_blank'>Source</a>,S,PSM-AI,AI Theory and Primer,Multiple useful language tasks do not prove broad human-level general intelligence.,"An LLM may support many work activities, but broad human-like generalization across domains has not been demonstrated.","Correct, any model that performs more than one task is AGI.",Multi-task usefulness is not sufficient to establish AGI.,"Incorrect, because AGI can only exist in physical robots.","AGI is about general intellectual capability, not whether the system has a physical body.","Correct, if the model also provides confidence scores for its answers.",Confidence scores do not prove general intelligence or reliable reasoning across domains.,,,,,1
What is the main advantage of using placeholders in shared AI prompts?,This question evaluates whether the learner understands why parameterized prompts are valuable. Placeholders help the team reuse a proven structure without ignoring the specific context of each event or task. <i>Prompt Library for Facilitators</i><br><a href='https://www.scrum.org/resources/blog/chatgpt-prompt-library-facilitators' target='_blank'>Source</a>,S,PSM-AI,Effective AI Prompting,They make prompts reusable while preserving the ability to adapt them to the current context.,Placeholders allow the team to keep a stable prompt structure and change only the relevant variables.,"They make the prompt longer, which always improves AI output quality.",Longer prompts are not automatically better and may add unnecessary noise.,They prevent the model from producing unexpected outputs.,"Placeholders improve clarity, but they do not eliminate the need to review AI outputs.",They allow the prompt to permanently train the AI model.,Using placeholders in a prompt does not retrain the underlying model.,,,,,1
A Product Owner wants to keep all customer support calls so an AI tool can discover future product opportunities. What is the best policy?,"This question tests whether the learner can distinguish security controls from broader responsible data governance. Encryption is useful, but AI use still needs a clear purpose, consent, minimization, and retention limits. <i>Responsible & Ethical AI</i><br><a href='https://www.scrum.org/resources/blog/responsible-ethical-ai' target='_blank'>Source</a>",S,PSM-AI,AI Ethic and Security,"Collect only data needed for a defined purpose, obtain consent where required, and limit retention.",This respects purpose limitation and reduces the risk of exposing unnecessary customer information.,Store every call because future AI use cases cannot be predicted yet.,Collecting data for unspecified future use increases ethical and privacy risk.,Keep the calls if they are stored in an encrypted repository.,"Encryption helps security but does not replace consent, minimization, or retention rules.",Ask the AI to summarize the calls and then keep both the summaries and recordings forever.,Keeping both original and derived data indefinitely increases risk and may exceed the intended purpose.,,,,,1
An AI assistant recommends that Developers stop selecting their own work because automated assignment is more objective. What should the Scrum Master do?,"This question tests whether the Scrum Master keeps AI in a supporting role. Even when AI recommendations seem objective, the Scrum Team must retain meaningful responsibility for how work is managed. <i>The A3 Framework: Assist, Automate, Avoid - A Decision System for AI Delegation</i><br><a href='https://www.scrum.org/resources/blog/a3-framework-assist-automate-avoid-decision-system-ai-delegation' target='_blank'>Source</a>",S,PSM-AI,AI for Scrum Masters,Facilitate a discussion about how the recommendation affects self-management and shared accountability.,The Scrum Master should help the Scrum Team inspect whether AI support is improving or weakening Scrum.,Accept the recommendation because objective assignment reduces conflict.,"Automated assignment may appear objective while still creating bias, dependency, or reduced ownership.",Ask the AI to explain its assignment logic and then apply it automatically.,"Explainability is useful, but it does not justify removing human team decision-making.",Let the Product Owner approve the AI assignments before the Sprint starts.,Product Owner approval does not preserve the Developers' ability to manage their own work.,,,,,1
